"CpG_Site","Coefficient"
"A7-A13G",68.0614114799315
"BH-A1EN",308.281740709618
"BH-A1EY",378.185798499771
"BH-A1F2",168.336463284201
"BH-A1F5",582.193693342694
"BH-A1F6",224.28947103909
"BH-A1F8",308.509392228244
"BH-A1FB",338.487255500889
"BH-A1FC",461.71661342688
"BH-A1FD",242.952011755002
"BH-A1FE",254.833342653134
"BH-A1FG",199.677823486348
"BH-A1FH",242.130115510921
"BH-A1FJ",266.551820405996
"BH-A1FM",236.098876122322
"BH-A1FN",200.985893986854
"BH-A1FR",304.467960877261
"E2-A1IF",341.15012343228
"E2-A1II",261.570541861561
"E2-A1IO",272.712066787968
"E2-A1L7",534.689050169086
"E2-A1LB",337.059867948012
"E9-A1N6",363.926270476615
"E9-A1N8",185.100607854921
"E9-A1NA",298.166342285329
"E9-A1ND",290.550359023259
"E9-A1N5",395.894138580941
"E9-A1NF",129.136556071076
"E9-A1N4",490.484961990958
"E9-A1NE",227.19017002183
"E9-A1NG",199.938656599124
"E9-A1R7",202.113287611735
"AC-A23H",276.545838232275
"BH-A204",201.712585150456
"BC-A10Q",821.153793435197
"BC-A10R",859.753460322698
"BC-A10S",956.252113474175
"BC-A10T",810.33977018986
"BC-A10U",862.048714623792
"BC-A10W",1039.00945098045
"BC-A10X",943.377462954723
"BC-A10Y",1024.64642095433
"BC-A10Z",782.058917508712
"BC-A110",828.485607642323
"BC-A112",875.384621002237
"DD-A113",748.800390899296
"DD-A114",1013.58195787713
"DD-A115",938.61320056607
"DD-A116",829.08527709224
"DD-A118",925.273484605623
"DD-A119",906.677251640015
"DD-A11A",928.636081103489
"DD-A11B",996.614608834554
"DD-A11C",1158.03734215779
"DD-A11D",839.713394089954
"DD-A1EB",1161.53677819239
"DD-A1EC",419.769456243831
"DD-A1EE",997.089594962829
"DD-A1EF",987.763019319215
"DD-A1EH",671.848153673622
"DD-A1EI",957.44945347489
"EP-A12J",726.265330475831
"BC-A216",987.330664578648
"DD-A1E9",1041.70957485361
"DD-A1ED",885.142846397883
"DD-A1EJ",732.548654208412
"DD-A1EL",892.647975657876
"EP-A26S",710.767332666741
"A6-2671",1690.54325701125
"A6-2679",1441.89080449178
"A6-2680",1246.7888558123
"A6-2681",1103.65339886786
"A6-2682",1421.24400685881
"A6-2684",1532.10602158595
"A6-2685",1108.29043136162
"A6-2686",1594.04304753223
"A6-4107",806.114158013626
"AA-3488",1022.29239943723
"AA-3492",1327.54242773937
"AA-3494",1051.75715825254
"AA-3495",1264.14295711276
"AA-3502",1211.23822914254
"AA-3506",940.509149162093
"AA-3509",660.554657822167
"AA-3510",1237.44301447431
"A6-2675",672.809408857534
"A6-5667",840.581881029233
"AA-3655",944.234489248715
"AA-3660",1090.04647755452
"AA-3663",594.515671818271
"AA-3697",1011.40868686182
"AA-3712",1126.10440643582
"AA-3713",1042.17096253298
"G4-6295",1671.68669489933
"G4-6297",1140.81941040191
"G4-6298",1732.11355162495
"G4-6302",1668.24193905095
"G4-6311",1892.09592721585
"G4-6314",1470.66219967221
"G4-6320",1676.79627376023
"G4-6322",1395.13957569667
"AZ-6598",1435.73935344011
"CV-5431",542.63011821281
"CV-5436",271.915176850839
"CV-5440",632.695661414828
"CV-5441",1212.94009290534
"CV-5442",440.041481887277
"CV-5443",236.479281829963
"CV-5444",269.219397576267
"CV-5430",626.416275857519
"CV-5432",764.714595993988
"CV-5434",664.679434891808
"CV-5435",587.061283064265
"CV-5439",183.362160453314
"CV-5966",319.896491654301
"CV-5970",340.566038542934
"CV-5971",284.033910531658
"CV-5973",268.7145076591
"CV-5976",364.544693373962
"CV-5977",153.056955457288
"CV-5978",89.6558818203347
"CV-5979",332.26916982398
"CV-6003",328.289821995862
"CV-6433",318.297546298418
"CV-6436",329.980270587177
"CV-6441",431.32789461298
"CV-6933",287.890943195467
"CV-6934",427.570961291106
"CV-6935",765.485436958633
"CV-6936",614.703967362169
"CV-6938",343.222230955649
"CV-6939",170.916479776014
"CV-6943",460.318100728473
"CV-6951",330.572744405739
"CV-6952",598.946792973008
"CV-6953",1177.1511572141
"EM-A3ST",29.0725417938817
"FY-A3TY",48.9571539197227
"EL-A3H1",230.768648823201
"EL-A3H7",80.3852603932389
"EL-A3MX",9.99999999999909
"EL-A3MY",32.8198814765244
"ET-A3DP",9.99999999999977
"BJ-A3PR",631.697939062967
"BJ-A3PU",25.1920930497259
"EL-A3T6",212.878922214224
"H2-A3RI",40.4363540715835
"BJ-A28X",545.133050185429
"EL-A3T0",94.054297152667
"EL-A3T1",241.962449259753
"EL-A3T2",43.262861740038
"EL-A3T3",33.5377669968628
"EL-A3T7",51.7536331583642
"EL-A3T8",16.7766000950125
"EL-A3TA",13.1135253946779
"EL-A3TB",53.0250017561088
"EL-A3ZG",17.0141081685015
"EL-A3ZH",41.5428957608709
"EL-A3ZK",207.87355683304
"EL-A3ZL",20.070880666337
"EL-A3ZO",59.8051539911265
"EL-A3ZP",229.021305207537
"DO-A1JZ",12.3208298599964
"EM-A1CS",25.266296661008
"EM-A1CT",24.258845760281
"EM-A1CU",59.7821643847369
"EM-A1CV",9.99999999999909
"EM-A1CW",14.5177793653986
"EM-A1YC",31.7548106668412
"EM-A1YD",10
"BQ-5875",226.697303427677
"BQ-5876",190.710420400926
