Tissue,Protein,Coefficient
Artery,Intercept,57.318109206
Artery,ACAN,-0.5826950045
Artery,BGN,-0.2065319238
Artery,CRLF1,-5.1571111217
Artery,FRZB,0.9418072304
Artery,LTBP2,8.9077838699
Artery,MFGE8,0.2872325662
Artery,SOST,2.7501079302
Artery,THBS2,-3.8091609364
Artery,TNFRSF11B,4.8162645936
Artery,VCAN,0.197668343
Multi-organ,Intercept,57.7521303592
Multi-organ,ACAN,0.962790269
Multi-organ,ADAM22,0.5726281272
Multi-organ,ADAM8,-0.2196120784
Multi-organ,ADCYAP1R1,-0.0687761429
Multi-organ,ADGRE2,2.1178975546
Multi-organ,ADH4,-0.0233069559
Multi-organ,AGER,-1.0778057957
Multi-organ,AGXT,-0.2327150736
Multi-organ,AHSP,-0.0141250205
Multi-organ,AIF1,0.0426890812
Multi-organ,AKR1B1,-0.0891048956
Multi-organ,AKR1C4,-0.0518030528
Multi-organ,ALPP,-0.0199629826
Multi-organ,AMBN,-0.0246032174
Multi-organ,AMBP,0.0252903993
Multi-organ,AMY2A,0.3687120274
Multi-organ,AMY2B,-0.2331082031
Multi-organ,ANG,-0.3215462063
Multi-organ,ANGPTL3,-0.1430957975
Multi-organ,ANGPTL7,0.0183422265
Multi-organ,ANXA10,0.1060184404
Multi-organ,APBB1IP,-0.2378050725
Multi-organ,APLP1,-0.7771782368
Multi-organ,ASGR1,-0.4908438846
Multi-organ,AZU1,0.0778588206
Multi-organ,BCAN,-2.2455572911
Multi-organ,BGN,0.0095751385
Multi-organ,BIN2,0.0481853257
Multi-organ,BLMH,-1.1947611033
Multi-organ,BST1,-0.1106106183
Multi-organ,C2,-0.0994713515
Multi-organ,C4BPB,0.1110853547
Multi-organ,CA11,-0.0602745558
Multi-organ,CA14,-1.7909920059
Multi-organ,CA3,0.4562657174
Multi-organ,CA5A,-0.0682170858
Multi-organ,CA6,-0.1988037675
Multi-organ,CA9,0.1467964997
Multi-organ,CBLIF,0.2148215478
Multi-organ,CCL16,-0.113712529
Multi-organ,CCL18,0.2479730766
Multi-organ,CCL25,0.2511596234
Multi-organ,CCL27,0.7652096712
Multi-organ,CCL28,0.3667919675
Multi-organ,CCL5,-0.2709219948
Multi-organ,CD177,0.0205257216
Multi-organ,CD207,-0.407995276
Multi-organ,CD244,-0.2357869124
Multi-organ,CD300LG,-0.2736542317
Multi-organ,CD8A,-0.9789780642
Multi-organ,CDH17,-0.2001228167
Multi-organ,CDHR1,-0.3553555574
Multi-organ,CDHR2,0.7568832896
Multi-organ,CDHR5,0.0344910647
Multi-organ,CDSN,0.2973098739
Multi-organ,CEACAM21,-0.024545149
Multi-organ,CEACAM3,-0.1057535511
Multi-organ,CEACAM8,0.3176353565
Multi-organ,CELA3A,-0.667675496
Multi-organ,CGA,0.2377047862
Multi-organ,CLC,0.1395413574
Multi-organ,CLEC4D,0.0058759935
Multi-organ,CLPS,-0.0134402313
Multi-organ,CLSPN,-0.0319612457
Multi-organ,CNDP1,-0.0530267204
Multi-organ,CNTN1,0.7003434648
Multi-organ,CNTN2,0.2014468179
Multi-organ,CNTNAP2,-0.1848958782
Multi-organ,CORO1A,-0.2445850502
Multi-organ,CPA1,0.1576866085
Multi-organ,CPA2,0.012975431
Multi-organ,CPB1,0.1336108931
Multi-organ,CPPED1,-0.1192640052
Multi-organ,CRH,-0.2162057317
Multi-organ,CRISP2,0.0420096844
Multi-organ,CRLF1,-1.6058632541
Multi-organ,CRTAM,0.2692855881
Multi-organ,CSF2RA,0.0004727716
Multi-organ,CST5,0.5188493634
Multi-organ,CST6,-0.5121749016
Multi-organ,CST7,-0.0514432502
Multi-organ,CTRB1,0.1278123249
Multi-organ,CTRC,0.2009088129
Multi-organ,CXCL1,-0.0497892436
Multi-organ,CXCL13,-0.2532967749
Multi-organ,CXCL5,0.1286733313
Multi-organ,CXCL6,-0.1927221756
Multi-organ,DCXR,-0.0010298192
Multi-organ,DEFA1_DEFA1B,-0.0855329935
Multi-organ,DKKL1,0.238861566
Multi-organ,DNAJB8,-0.0570357594
Multi-organ,DPEP2,-0.2659854069
Multi-organ,DSG4,-0.204664223
Multi-organ,EGLN1,-0.0727339503
Multi-organ,ENO2,0.4534589481
Multi-organ,EPO,-0.0779879859
Multi-organ,F7,0.2527890433
Multi-organ,F9,0.8847995813
Multi-organ,FABP2,0.0434652881
Multi-organ,FABP4,-0.6881033831
Multi-organ,FABP6,-0.05219727
Multi-organ,FABP9,-0.308229596
Multi-organ,FASLG,-1.4347124163
Multi-organ,FCAR,-0.0842109363
Multi-organ,FCGR2A,0.0849326208
Multi-organ,FCGR3B,-0.1715708179
Multi-organ,FCRL6,0.1868022731
Multi-organ,FETUB,-0.6046385277
Multi-organ,FGF21,-0.0298247131
Multi-organ,FGR,0.1227722396
Multi-organ,FKBP1B,0.2495203895
Multi-organ,FMNL1,-0.2586705699
Multi-organ,FOLR3,0.0291844516
Multi-organ,FRZB,0.6198175372
Multi-organ,FYB1,0.4759288136
Multi-organ,GAL,-0.0866666047
Multi-organ,GCG,-0.1685325145
Multi-organ,GDF2,-0.9008748094
Multi-organ,GFAP,1.6620210668
Multi-organ,GH1,0.0028348938
Multi-organ,GH2,-0.0310541292
Multi-organ,GHRHR,-0.0184213047
Multi-organ,GHRL,-0.1660803826
Multi-organ,GKN1,0.2449908301
Multi-organ,GNLY,0.1330335321
Multi-organ,GP2,0.4069893548
Multi-organ,GPA33,0.009234412
Multi-organ,GPC5,-0.0235051353
Multi-organ,GPR37,-0.277713324
Multi-organ,GSTA3,-0.0267242033
Multi-organ,GUCA2A,0.8684231072
Multi-organ,GZMA,0.1876749477
Multi-organ,GZMB,0.1938707155
Multi-organ,GZMH,0.1160428369
Multi-organ,HAO1,0.0191716149
Multi-organ,HAVCR1,0.7465868568
Multi-organ,HBQ1,-0.3795128632
Multi-organ,HCLS1,-0.2081203402
Multi-organ,HMOX1,0.3527957721
Multi-organ,HSD11B1,-0.7416099184
Multi-organ,ICAM3,-0.3436813729
Multi-organ,IDI2,0.0728110042
Multi-organ,IDS,-0.0757584261
Multi-organ,IGFBP1,0.0188210821
Multi-organ,IL13,-0.0726958301
Multi-organ,IL17RA,-0.0530067848
Multi-organ,IL18RAP,-0.0926567213
Multi-organ,IL1R2,-0.5867547596
Multi-organ,IL2RB,-0.0963457715
Multi-organ,IL5,-0.0619425656
Multi-organ,INHBC,0.2117712893
Multi-organ,ITGAM,0.9322817954
Multi-organ,ITGB1BP2,-0.1665926376
Multi-organ,ITGB2,0.3143798961
Multi-organ,ITGB6,-0.4100701324
Multi-organ,ITIH3,0.5734725722
Multi-organ,KCNIP4,-0.0984023752
Multi-organ,KEL,0.0377836383
Multi-organ,KIR2DL3,0.1421257306
Multi-organ,KIR3DL1,-0.0242828445
Multi-organ,KIRREL2,-0.5423343439
Multi-organ,KLK1,0.0819163138
Multi-organ,KLK4,0.806295894
Multi-organ,KRT14,-0.1422373085
Multi-organ,LAMP3,0.2307741678
Multi-organ,LAT2,-0.1047553895
