Tissue,Protein,Coefficient
Organismal,Intercept,57.0729932451
Organismal,AAMDC,-0.0201513572
Organismal,AARSD1,0.2023109901
Organismal,ABHD14B,0.0149289674
Organismal,ABO,0.0369795289
Organismal,ACAA1,-0.0430370435
Organismal,ACADSB,0.0769579208
Organismal,ACE2,0.1164581337
Organismal,ACHE,-0.1767199589
Organismal,ACP1,0.0896175796
Organismal,ACP5,-0.264191279
Organismal,ACP6,-0.0199845242
Organismal,ACTA2,0.5343769596
Organismal,ACTN2,-0.0145299339
Organismal,ACTN4,-0.0307256497
Organismal,ACVRL1,-0.0812647343
Organismal,ACY1,0.2135277311
Organismal,ACY3,0.0477182772
Organismal,ACYP1,-0.0761155235
Organismal,ADA,-0.2668779145
Organismal,ADA2,-0.3510371364
Organismal,ADAM12,-0.2001028673
Organismal,ADAM23,0.0303131318
Organismal,ADAM9,-0.0580465649
Organismal,ADAMTS1,0.0630112843
Organismal,ADAMTS13,-0.2109952262
Organismal,ADAMTS15,-0.5753985291
Organismal,ADAMTS16,0.4694073252
Organismal,ADAMTS4,0.3062409563
Organismal,ADAMTSL2,-0.2712401168
Organismal,ADAMTSL4,-0.0151281577
Organismal,ADAMTSL5,-0.3225276987
Organismal,ADD1,-0.0356013276
Organismal,ADGRB3,0.0079211284
Organismal,ADGRE5,0.258467332
Organismal,ADGRF5,-0.0495553158
Organismal,ADGRG1,0.259283679
Organismal,ADGRV1,-0.0535471817
Organismal,ADH1B,0.0364382731
Organismal,ADM,0.2209864829
Organismal,ADRA2A,-0.0077829074
Organismal,AFAP1,0.0573958601
Organismal,AFP,0.4780082325
Organismal,AGBL2,0.0215158927
Organismal,AGR2,-0.0142838485
Organismal,AGR3,-0.0467085111
Organismal,AGRN,-0.1716675135
Organismal,AGRP,-0.7726526453
Organismal,AHCY,0.0861083418
Organismal,AHNAK2,-0.053990422
Organismal,AIDA,0.0440899098
Organismal,AIF1L,0.0186752967
Organismal,AK2,0.0492296107
Organismal,AKAP12,0.109657445
Organismal,AKR1B10,-0.005743652
Organismal,AKR7L,-0.0354593839
Organismal,AKT1S1,0.0407756337
Organismal,AKT2,0.0453440798
Organismal,AKT3,-0.0271196753
Organismal,ALCAM,0.0132318933
Organismal,ALDH1A1,-0.0095357901
Organismal,ALDH3A1,-0.0257327603
Organismal,AMDHD2,0.117800641
Organismal,AMFR,0.0155941159
Organismal,AMIGO2,-0.1413474608
Organismal,AMOT,-0.112591929
Organismal,AMOTL2,-0.0253502196
Organismal,AMPD3,0.0516556372
Organismal,ANGPT1,0.2644356552
Organismal,ANGPT2,-0.4056413939
Organismal,ANGPTL1,-0.268471515
Organismal,ANGPTL4,0.0457353479
Organismal,ANK2,0.0176415154
Organismal,ANKMY2,0.0413907161
Organismal,ANKRA2,0.0313113596
Organismal,ANP32C,-0.0069433538
Organismal,AOC1,-0.0019020721
Organismal,AP2B1,0.0522225404
Organismal,APOBR,0.1153392649
Organismal,APOE,-0.1013442948
Organismal,APOL1,-0.0434563366
Organismal,APOM,-0.2644843113
Organismal,APP,0.0076161273
Organismal,ARAF,-0.0176200484
Organismal,AREG,0.0744455625
Organismal,ARHGAP1,-0.0622584116
Organismal,ARHGAP25,-0.045923976
Organismal,ARHGAP45,0.1781666219
Organismal,ARHGAP5,0.0036175497
Organismal,ARHGEF10,0.0108753349
Organismal,ARHGEF5,-0.0311621084
Organismal,ARID4B,0.0109057595
Organismal,ARL13B,-0.0124496485
Organismal,ARMCX2,0.0094395528
Organismal,ARNT,-0.0710390492
Organismal,ARSA,0.1047452009
Organismal,ARSB,-0.013946064
Organismal,ART3,-0.3027348177
Organismal,ARTN,-0.1272862539
Organismal,ASAH2,-0.0704125764
