Tissue,Protein,Coefficient
Adrenal,FDX1,0.122392733
Adrenal,GSTA3,0.007644391
Thyroid,PTH,0.1891162926
Thyroid,TG,0.0111065863
Pituitary,CGA,0.1562977196
Pituitary,CSH1,-0.0234624634
Pituitary,FSHB,-0.1030469916
Pituitary,GAL,-0.2393156208
Pituitary,GH1,0.0131626956
Pituitary,GH2,-0.0075934805
Pituitary,LHB,-0.0456893349
Pituitary,NPTX2,0.8478528746
Pituitary,POMC,0.0217653478
Pituitary,PRL,-0.0653991357
Pituitary,TSHB,-0.0486461639
Muscle,CA3,0.0598961282
Muscle,DUSP29,0.0066512531
Muscle,EGLN1,0.2877143396
Muscle,ENO3,-0.4876987019
Muscle,IDI2,0.1169621522
Muscle,KLHL41,-0.1120922521
Muscle,MYBPC1,0.439020608
Muscle,MYBPC2,0.0710093933
Muscle,MYL1,0.0159642443
Muscle,MYLPF,0.1281534251
Muscle,SOD2,0.2049195101
Salivary,BPIFB2,0.1458013151
Salivary,CCL28,0.2954062715
Salivary,CRISP3,-0.4750085241
Salivary,CXCL5,-0.0487064519
Salivary,LACRT,-0.2914203215
Salivary,LEG1,0.007472698
Salivary,LPO,-0.0206219573
Salivary,ODAM,-0.3849804623
Salivary,PRR4,0.0747622961
Salivary,TCN1,0.2694443367
Male,ACRV1,0.0896700749
Male,BPIFA2,-0.0435654611
Male,BRAP,-0.0011642519
Male,BRDT,0.0197184834
Male,CRISP2,-0.0405580789
Male,DDX4,-0.0150460824
Male,DKKL1,0.0326358653
Male,GJA8,-0.0244205269
Male,IL5,-0.0057828935
Male,INSL3,-0.1115766885
Male,IZUMO1,-0.0390166897
Male,KEL,0.0862465046
Male,KLK3,0.1398630221
Male,KLK4,0.4710559464
Male,LELP1,0.001235565
Male,LYZL2,-0.0118462137
Male,MAGEA3,-0.002584815
Male,MENT,-0.5478371928
Male,MSMB,0.2399801448
Male,PRND,0.0115726015
Male,RAD51,0.0528681664
Male,RLN1,-0.0778279594
Male,SDK2,-9.51579e-05
Male,SPESP1,0.0229091226
Male,SPINK2,0.1597387487
Male,TIMD4,0.2291424911
Male,UBQLN3,0.060493919
Heart,BMP10,-0.0483325273
Heart,ITGB1BP2,0.0648680478
Heart,MYL4,0.3007494456
Heart,NMRK2,-0.1145753967
Heart,NPPB,0.2955308233
Heart,PXDNL,-0.0150969456
Heart,TNNI3,0.0963803647
Brain,ADCYAP1R1,-0.0068481669
Brain,ANGPTL7,0.0686733796
Brain,APLP1,-0.0728031248
Brain,APOD,0.0184227802
Brain,ATP6V1G2,-0.0123981662
Brain,BCAN,-0.6024863798
Brain,C1QL2,-0.1198829004
Brain,CA11,-0.0104752164
Brain,CA14,-0.3553479381
Brain,CEND1,0.0290967725
Brain,CNDP1,-0.2392678748
Brain,CNP,-0.1370280546
Brain,CNTN1,-0.1532364049
Brain,CNTN2,0.0542377516
Brain,CNTNAP2,0.2119108705
