"GeneID","CoefficientTraining"
"PCDHB3",-0.000362980721327488
"CDKN2A",-0.000327660991558331
"EYA4",-0.00026335855144294
"PARP3",-0.000228745471210159
"GNAS",-0.000212150553443394
"CALCOCO2",-0.00019546091492347
"SORCS3",-0.000187028021662988
"ZMAT3",-0.000185757053604689
"DDO",-0.000174242728574731
"CXorf57",-0.000158678955216943
"SFPQ",-0.000157053581425624
"FMO3",-0.00015526956471876
"EIF4H",-0.000155115745208076
"NACA",-0.000153706063249688
"GPR19",-0.0001480555740357
"PCDHB12",-0.000146608158457457
"ZNF391",-0.000146417685207176
"YWHAB",-0.000145655256682436
"TSNAXIP1",-0.00014517207129617
"IL2RA",-0.000140922246722291
"PCBP2",-0.000140814990600209
"DSG1",-0.000139178099186994
"TPI1",-0.000138507976579743
"CETP",-0.000137957557421626
"SFMBT1",-0.000136919092201693
"RPS27L",-0.000134847477474946
"GAS2",-0.000132605489388195
"C17orf53",-0.000130115688262672
"POLH",-0.000126335513866689
"GNPDA1",-0.000126273316410982
"NAP1L2",-0.000124444539830767
"NXF3",-0.000122868107996752
"PCDHB6",-0.000122214385513879
"FDXR",-0.000121544120436454
"THAP10",-0.000121005857690872
"MDM2",-0.000119996581141096
"HNRNPA2B1",-0.000116079651564021
"PEX7",-0.000115288569524106
"HNRNPU",-0.00011409641469221
"CYP4F11",-0.00011384563486344
"AGA",-0.000112611017429879
"EIF2B2",-0.000111674944891345
"MTAP",-0.000110819661696391
"XPNPEP3",-0.000109946269156706
"SLC35G2",-0.000109431739869157
"PKM",-0.00010874240076291
"TMEM131",-0.000108522187847016
"ADTRP",-0.00010740679894254
"DDB2",-0.00010649948326598
"ACVR2A",-0.000106010380507123
"TBC1D19",-0.000105202088553634
"PCDH9",-0.000104681190576817
"RBMX2",-0.000103875351654412
"CNNM1",-0.000103355868849772
"PTGER2",-0.000103080924989805
"AHCTF1",-0.00010277999150434
"LMO3",-0.000102534390018553
"CHN1",-0.00010168570103974
"TAF1B",-0.000100315877388798
"KLRF1",-0.00010004727443686
"CRTAP",-9.9853256616435e-05
"ATP1A1",-9.91894035878864e-05
"TAF7",-9.90659982542259e-05
"RPL27A",-9.90552453714033e-05
"KDM5C",-9.84373325719242e-05
"ZSCAN9",-9.83501607926983e-05
"NVL",-9.76723200624879e-05
"ARPC1A",-9.66829687868657e-05
"STX6",-9.64866389980253e-05
"CAST",-9.63718330569015e-05
"ALDH2",-9.62461969226563e-05
"CAPN2",-9.60847663019382e-05
"WNK1",-9.57052129031764e-05
"UFSP2",-9.54005935772894e-05
"HYAL1",-9.52313794007105e-05
"RPS27A",-9.49661549017462e-05
"IL10",-9.35914869864495e-05
"APLP2",-9.34297068303313e-05
"ZNF250",-9.34039549898367e-05
"ASCC3",-9.28770135607335e-05
"DSCC1",-9.26536187080948e-05
"TMEM267",-9.25340524287645e-05
"CLIC2",-9.23967407105038e-05
"OSBPL2",-9.20360179929551e-05
"KPNB1",-9.19584104367928e-05
"SUPT3H",-9.19319542003661e-05
"STAT3",-9.11902271948786e-05
"PEX6",-9.02662344749976e-05
"METTL8",-9.0239893027912e-05
"LTBP2",-8.9748232861368e-05
"PCNX2",-8.97200710453682e-05
"SNX24",-8.95719179867379e-05
"SIPA1L1",-8.95437882842466e-05
"VCP",-8.91464631444422e-05
"TPK1",-8.90622911755784e-05
"GLUD1",-8.90262287571964e-05
"INPP5B",-8.8946946432803e-05
"ARL2BP",-8.89287441528159e-05
"ACAD8",-8.89151535280658e-05
"PRKAR1A",-8.88604792690914e-05
"USP48",-8.86833213539872e-05
"BCAP31",-8.83380789490889e-05
"SLC6A13",-8.82609574225937e-05
"MAT2A",-8.82360136970866e-05
"PBX3",-8.78862145174187e-05
"DIRAS3",-8.76888427746954e-05
"UBE2D3",-8.74164819368028e-05
"WBP2",-8.71019962546422e-05
"RFC5",-8.67584983682305e-05
"MID2",-8.63551295119219e-05
"SSR1",-8.62346045301463e-05
"ZNF226",-8.57183717733476e-05
"SLC16A4",-8.56820961274776e-05
"BEGAIN",-8.53351092771719e-05
"CCNG1",-8.48702366665909e-05
"SUGP2",-8.46861161265001e-05
"MYOT",-8.46129095131316e-05
"AEN",-8.44995751684315e-05
"NBN",-8.43660228077026e-05
"NUP50",-8.40544180859131e-05
"SCN1B",-8.40204909356936e-05
"ZC2HC1C",-8.3467755107062e-05
"ACTR8",-8.32988054788778e-05
"ARL6IP5",-8.25336759816538e-05
"TRMT61B",-8.20434750649758e-05
"SUPT6H",-8.18473669482749e-05
"ITGBL1",-8.18027573276517e-05
"MINPP1",-8.17691265468968e-05
"AP3M2",-8.15920701416901e-05
"SEC22A",-8.15669768414197e-05
"TLL2",-8.15056710431168e-05
"AKAP3",-8.14945564409486e-05
"HNRNPA3",-8.13307250898528e-05
"FRS3",-8.11588478544755e-05
"SETD3",-8.02142033372199e-05
"TNFRSF10C",-8.01814820997272e-05
"LRP1B",-8.00810333216431e-05
"NCKIPSD",-7.98401943994893e-05
"FKBP9",-7.95460552138661e-05
"NUP98",-7.9321714061075e-05
"TCEAL2",-7.90240702276181e-05
"ATG12",-7.88140482510721e-05
"HSD17B6",-7.82566200409376e-05
"GLS2",-7.81912368504857e-05
"PRKCDBP",-7.80311078639493e-05
"F8",-7.79347341788591e-05
"WARS",-7.78572867581854e-05
"CDK5RAP1",-7.75886625162608e-05
"MCF2",-7.7286035929903e-05
"C3",-7.72824330250485e-05
