"GeneID","CoefficientTraining"
"ENSG00000204764",-0.00365786995739696
"ENSG00000167658",-0.00215445519058501
"ENSG00000165119",-0.00213186662066709
"ENSG00000107372",-0.00183235257007183
"ENSG00000136238",-0.00177657266915797
"ENSG00000161203",-0.00169297095657453
"ENSG00000079246",-0.00167824803011322
"ENSG00000067560",-0.00156787817413518
"ENSG00000150459",-0.00146941377406314
"ENSG00000070756",-0.0013515023221648
"ENSG00000108406",-0.00134004214887114
"ENSG00000088833",-0.00130323660547543
"ENSG00000144224",-0.00129862853929798
"ENSG00000156261",-0.00125672818490949
"ENSG00000152234",-0.0012414945915137
"ENSG00000142676",-0.00117165800389356
"ENSG00000182872",-0.00115607116982622
"ENSG00000177963",-0.00108486143752978
"ENSG00000167792",-0.00103704257491427
"ENSG00000198131",-0.00102486480061827
"ENSG00000197756",-0.00100621364575002
"ENSG00000100650",-0.000996725314741987
"ENSG00000173120",-0.000993528684194207
"ENSG00000121774",-0.000991274396525658
"ENSG00000168118",-0.000989846256796047
"ENSG00000108010",-0.000979817323965555
"ENSG00000213585",-0.000976013579448744
"ENSG00000166669",-0.000967296091791615
"ENSG00000113810",-0.000949129338438069
"ENSG00000163923",-0.000947886378169748
"ENSG00000120733",-0.000942057699240996
"ENSG00000080007",-0.000940342253073234
"ENSG00000055917",-0.000929260932508722
"ENSG00000197958",-0.000928461202374384
"ENSG00000124486",-0.00092639921924362
"ENSG00000171824",-0.000917285993187488
"ENSG00000186468",-0.00090427818557956
"ENSG00000124217",-0.00089790780174217
"ENSG00000168710",-0.000883875331481426
"ENSG00000099284",-0.000883375095449145
"ENSG00000138326",-0.000871573519258788
"ENSG00000198231",-0.000871343941622581
"ENSG00000087086",-0.000856972930662857
"ENSG00000132475",-0.0008556606521027
"ENSG00000197157",-0.000852873874171482
"ENSG00000167670",-0.000847984197636333
"ENSG00000101266",-0.000835855859383684
"ENSG00000155876",-0.000833704827292436
"ENSG00000118707",-0.000827115338518581
"ENSG00000128059",-0.000823703127966179
"ENSG00000055130",-0.000814418128160303
"ENSG00000104147",-0.000813105131745557
"ENSG00000100242",-0.000812185626818346
"ENSG00000163577",-0.000809443755661626
"ENSG00000175390",-0.000806175189038877
"ENSG00000087365",-0.000801503104803957
"ENSG00000131165",-0.000795679512396629
"ENSG00000096384",-0.000786790658704774
"ENSG00000110171",-0.000781191750900416
"ENSG00000198342",-0.000776501767795581
"ENSG00000183431",-0.000775790457330686
"ENSG00000137409",-0.000767588288396108
"ENSG00000145687",-0.000765816133666671
"ENSG00000130724",-0.000763276786365402
"ENSG00000171490",-0.000762577397954614
"ENSG00000130741",-0.000761679344980464
"ENSG00000136709",-0.000758524894805425
"ENSG00000085999",-0.000757588734559217
"ENSG00000107625",-0.000757333755771964
"ENSG00000184056",-0.000757153984247077
"ENSG00000101126",-0.000754048561842869
"ENSG00000108523",-0.000753530889818858
"ENSG00000127125",-0.000749441817546703
"ENSG00000127990",-0.000748391573906559
"ENSG00000113141",-0.000744732726955512
"ENSG00000073921",-0.000743935671543897
"ENSG00000156239",-0.00074150885117333
"ENSG00000135164",-0.000736604525491036
"ENSG00000184209",-0.000731673329273502
"ENSG00000149273",-0.000726523253013315
"ENSG00000109016",-0.000723888835436267
"ENSG00000092841",-0.000723131869960472
"ENSG00000196455",-0.000722649099870982
"ENSG00000125304",-0.000721151621232016
"ENSG00000100316",-0.000716944580000798
"ENSG00000173114",-0.000703655672582076
"ENSG00000004534",-0.000699607760425753
"ENSG00000100162",-0.00069960365114336
