GeneID,CoefficientTraining
CD248,-0.20543
LRRN3,-0.1663
NELL2,-0.07912
ABLIM1,-0.08003
LEF1,-0.0607
CCR7,-0.06993
SLC16A10,-0.05451
FAM102A,-0.05353
MYC,-0.04824
GZMH,0.06031
FAIM3,-0.06342
BACH2,-0.04353
CD27,-0.10371
GPR56,0.05539
NT5E,-0.11602
FGFBP2,0.0375
SYT11,0.11297
PDE9A,-0.07497
NOG,-0.08771
IL7R,-0.07289
CR2,-0.08529
SERPINE2,-0.12319
PAICS,-0.01796
FLNB,-0.07178
FCGBP,-0.06464
SIRPG,-0.02569
LDHB,-0.09189
OXNAD1,-0.03018
PDE7A,-0.041
ATF7IP2,-0.06053
NUAK1,0.07466
SLC7A6,-0.01753
FAM134B,-0.04981
TGFBR3,0.06287
PIK3IP1,-0.00538
BZW2,-0.04879
ELOVL4,-0.1044
RPL22,-0.01947
LTB,-0.02567
GRAP,0.0107
LDLRAP1,-0.02428
MMP28,0.00147
NMT2,-0.04934
CAMK4,-0.07242
NOSIP,-0.03029
NKG7,0.03937
ITM2C,-0.03726
DENND2D,-0.08119
SUSD3,-0.05888
GZMB,0.05582
LBH,-0.0517
KIAA1147,-0.01342
HSP90AB1,-0.03254
CD28,-0.01953
CX3CR1,0.08394
IMPDH2,-0.01125
PRSS23,0.07404
SCML1,-0.05943
OSBPL5,0.01873
TTC38,0.01825
TNFRSF25,0.00629
PDGFRB,0.06115
B3GAT1,0.0145
FBL,-0.03987
CCR6,-0.05471
AGMAT,-0.03409
PRR5L,0.05048
ATM,-0.03257
GPR18,-0.0531
TRA,-0.10882
ZSCAN18,-0.02975
LGALS1,0.04879
DGKA,-0.03407
SPRY1,-0.07537
BCL11B,-0.03378
ETS1,-0.06096
PPP2R2B,0.02894
CEP41,0.00094
AGPAT4,0.02102
DKC1,-0.03867
TCF7,-0.04483
OCIAD2,-0.0283
PCED1B,-0.0035
FCRL6,0.05796
TTC38,0.02828
CLUAP1,-0.0276
PHGDH,-0.07826
ADRB2,0.0286
ICOS,-0.01268
EFNA1,-0.0027
KLHL3,-0.00731
EDAR,0.00079
ERBB2,0.05026
HOOK1,-0.02265
SATB1,-0.06906
KLRB1,-0.1077
COBLL1,-0.03202
VPREB3,-0.0244
RHOC,0.07207
SESN1,-0.02917
ZNHIT6,-0.02849
F2R,0.03256
LEPROTL1,-0.04956
KYNU,0.05076
PTPRK,-0.08081
EPHX2,-0.04046
VAMP5,0.04347
FOXO1,-0.00999
CD96,-0.03797
FAM159A,-0.01777
TRAF5,-0.04294
MFGE8,-0.01492
ZEB2,0.07541
ZNF154,-0.07821
PLCG1,-0.05499
ITGA6,-0.07791
RRS1,-0.02882
BANK1,-0.02464
BTBD11,-0.06654
EPHA1,0.02103
TMEM204,-0.02873
PDGFD,0.05649
KLRD1,0.01605
FAM117B,-0.03665
SUSD1,0.01418
THNSL1,-0.02549
SEPT6,-0.02909
APEX1,-0.02079
HSPH1,-0.04926
NUCB2,-0.08822
TSPAN13,-0.02005
RORC,-0.06622
TRIB2,-0.02754
RCAN3,-0.05305
