ensemblID,gene
ENSG00000142611,PRDM16
ENSG00000157911,PEX10
ENSG00000142655,PEX14
ENSG00000149527,PLCH2
ENSG00000171621,SPSB1
ENSG00000142583,SLC2A5
ENSG00000173614,NMNAT1
ENSG00000204624,DISP3
ENSG00000142606,MMEL1
ENSG00000171729,TMEM51
ENSG00000037637,FBXO42
ENSG00000159423,ALDH4A1
ENSG00000157916,RER1
ENSG00000157881,PANK4
ENSG00000048707,VPS13D
ENSG00000162444,RBP7
ENSG00000180758,GPR157
ENSG00000184677,ZBTB40
ENSG00000131697,NPHP4
ENSG00000197921,HES5
ENSG00000055070,SZRD1
ENSG00000204138,PHACTR4
ENSG00000090020,SLC9A1
ENSG00000157978,LDLRAP1
ENSG00000158006,PAFAH2
ENSG00000196581,AJAP1
ENSG00000169403,PTAFR
ENSG00000171612,SLC25A33
ENSG00000188910,GJB3
ENSG00000158161,EYA3
ENSG00000142627,EPHA2
ENSG00000142632,ARHGEF19
ENSG00000189337,KAZN
ENSG00000028137,TNFRSF1B
ENSG00000130939,UBE4B
ENSG00000127472,PLA2G5
ENSG00000060656,PTPRU
ENSG00000163867,ZMYM6
ENSG00000189280,GJB5
ENSG00000134698,AGO4
ENSG00000132881,CPLANE2
ENSG00000273274,ZBTB8B
ENSG00000009709,PAX7
ENSG00000130940,CASZ1
ENSG00000163879,DNALI1
ENSG00000116954,RRAGC
ENSG00000163873,GRIK3
ENSG00000117215,PLA2G2D
ENSG00000044012,GUCA2B
ENSG00000179051,RCC2
ENSG00000126067,PSMB2
ENSG00000274944,C9IYK1
ENSG00000054118,THRAP3
ENSG00000276747,PADI6
ENSG00000159339,PADI4
ENSG00000158315,RHBDL2
ENSG00000186973,CFAP144
ENSG00000146463,ZMYM4
ENSG00000142686,C1orf216
ENSG00000117148,ACTL8
ENSG00000117000,RLF
ENSG00000092853,CLSPN
ENSG00000134697,GNL2
ENSG00000187513,GJA4
ENSG00000116151,MORN1
ENSG00000006555,TTC22
ENSG00000066056,TIE1
ENSG00000214114,MYCBP
ENSG00000116544,DLGAP3
ENSG00000117016,RIMS3
ENSG00000169213,RAB3B
ENSG00000163866,SMIM12
ENSG00000162384,CZIB
ENSG00000162391,FAM151A
ENSG00000117859,OSBPL9
ENSG00000253313,C1orf210
ENSG00000162396,PARS2
ENSG00000162378,ZYG11B
ENSG00000240563,L1TD1
ENSG00000117862,TXNDC12
ENSG00000243725,TTC4
ENSG00000171872,KLF17
ENSG00000162407,PLPP3
ENSG00000163877,SNIP1
ENSG00000157184,CPT2
ENSG00000198815,FOXJ3
ENSG00000134744,TUT4
ENSG00000283039,KLF18
ENSG00000162385,MAGOH
ENSG00000123080,CDKN2C
ENSG00000162598,C1orf87
ENSG00000162415,ZSWIM5
ENSG00000162600,OMA1
ENSG00000116704,SLC35D1
ENSG00000157193,LRP8
ENSG00000116205,TCEANC2
ENSG00000198841,KTI12
ENSG00000132854,KANK4
ENSG00000162607,USP1
ENSG00000154027,AK5
ENSG00000137960,GIPC2
ENSG00000116745,RPE65
ENSG00000132855,ANGPTL3
ENSG00000116675,DNAJC6
ENSG00000162433,AK4
ENSG00000213625,LEPROT
ENSG00000158966,CACHD1
ENSG00000203965,EFCAB7
ENSG00000153898,MCOLN2
ENSG00000117069,ST6GALNAC5
ENSG00000125703,ATG4C
ENSG00000162618,ADGRL4
ENSG00000131233,GJA9
ENSG00000137941,TTLL7
ENSG00000066135,KDM4A
ENSG00000117174,ZNHIT6
ENSG00000184313,MROH7
ENSG00000122420,PTGFR
ENSG00000143013,LMO4
ENSG00000134748,PRPF38A
ENSG00000142892,PIGK
ENSG00000197273,GUCA2A
ENSG00000116641,DOCK7
ENSG00000172260,NEGR1
ENSG00000137944,KYAT3
ENSG00000182183,SHISAL2A
ENSG00000067334,DNTTIP2
ENSG00000142949,PTPRF
ENSG00000116133,DHCR24
ENSG00000171502,COL24A1
ENSG00000116157,GPX7
ENSG00000143036,SLC44A3
ENSG00000065243,PKN2
ENSG00000117528,ABCD3
ENSG00000271723,MROH7-TTC4
ENSG00000172339,ALG14
ENSG00000036549,ZZZ3
ENSG00000189433,GJB4
ENSG00000179178,TMEM125
ENSG00000142700,DMRTA2
ENSG00000127124,HIVEP3
ENSG00000137936,BCAR3
ENSG00000143032,BARHL2
ENSG00000117519,CNN3
ENSG00000134215,VAV3
ENSG00000188641,DPYD
ENSG00000152078,TLCD4
ENSG00000171492,LRRC8D
ENSG00000170989,S1PR1
ENSG00000116299,ELAPOR1
ENSG00000137962,ARHGAP29
ENSG00000079739,PGM1
ENSG00000117154,IGSF21
ENSG00000162377,COA7
ENSG00000116774,OLFML3
ENSG00000023909,GCLM
ENSG00000069702,TGFBR3
ENSG00000198198,SZT2
ENSG00000116793,PHTF1
ENSG00000117525,F3
ENSG00000162692,VCAM1
ENSG00000181656,GPR88
ENSG00000122481,RWDD3
ENSG00000198162,MAN1A2
ENSG00000171517,LPAR3
ENSG00000143079,CTTNBP2NL
ENSG00000173947,CIMAP3
ENSG00000134198,TSPAN2
ENSG00000198799,LRIG2
ENSG00000117620,SLC35A3
ENSG00000162688,AGL
ENSG00000197106,SLC6A17
ENSG00000203859,HSD3B2
ENSG00000185946,RNPC3
ENSG00000162627,SNX7
ENSG00000162695,SLC30A7
ENSG00000265808,SEC22B
ENSG00000134247,PTGFRN
ENSG00000162664,ZNF326
ENSG00000134253,TRIM45
ENSG00000183508,TENT5C
ENSG00000198765,SYCP1
ENSG00000143398,PIP5K1A
ENSG00000196505,GDAP2
ENSG00000134200,TSHB
ENSG00000065183,WDR3
ENSG00000163393,SLC22A15
ENSG00000163156,SCNM1
ENSG00000143631,FLG
ENSG00000079335,CDC14A
ENSG00000143119,CD53
ENSG00000143520,FLG2
ENSG00000171943,SRGAP2C
ENSG00000155761,SPAG17
ENSG00000116830,TTF2
ENSG00000081026,MAGI3
ENSG00000143458,GABPB2
ENSG00000073754,CD5L
ENSG00000163155,LYSMD1
ENSG00000116824,CD2
ENSG00000024526,DEPDC1
ENSG00000117262,GPR89A
ENSG00000137947,GTF2B
ENSG00000117586,TNFSF4
ENSG00000162728,KCNJ9
ENSG00000184371,CSF1
ENSG00000163154,TNFAIP8L2
ENSG00000162729,IGSF8
ENSG00000143158,MPC2
ENSG00000271092,TLCD4-RWDD3
ENSG00000000460,FIRRM
ENSG00000135862,LAMC1
ENSG00000143198,MGST3
ENSG00000143318,CASQ1
ENSG00000143621,ILF2
ENSG00000143156,NME7
ENSG00000198771,RCSD1
ENSG00000213064,SFT2D2
ENSG00000143179,UCK2
ENSG00000143315,PIGM
ENSG00000143185,XCL2
ENSG00000143190,POU2F1
ENSG00000075945,KIFAP3
ENSG00000092607,TBX15
ENSG00000117091,CD48
