"protein","sd"
"AARSD1",0.645594241621289
"ABHD14B",0.646046497117049
"ABL1",0.774062189305742
"ACAA1",0.931390339625018
"ACAN",0.341072146125633
"ACE2",0.640432395781772
"ACOX1",0.548600933951991
"ACP5",0.383510869980048
"ACP6",0.753225847762483
"ACTA2",0.532506415272286
"ACTN4",0.3529748527763
"ACVRL1",0.304754538395318
"ACY1",0.770858278558963
"ADA",0.398652428908301
"ADA2",0.491725566881781
"ADAM15",0.344550082231854
"ADAM22",0.403473468990072
"ADAM23",0.396619239835956
"ADAM8",0.329200141329681
"ADAMTS13",0.263638638412609
"ADAMTS15",0.53857327299555
"ADAMTS16",0.376598267013493
"ADAMTS8",0.514127945595876
"ADCYAP1R1",0.383080651280857
"ADGRB3",0.377276611321424
"ADGRE2",0.331654959782956
"ADGRE5",0.357052475457373
"ADGRG1",0.844112642525016
"ADGRG2",0.339584645951199
"ADH4",1.03711180722855
"ADM",0.368053019767891
"AFP",0.771936986257846
"AGER",0.475681753358875
"AGR2",1.12857819195056
"AGR3",0.673358343752502
"AGRN",0.404967011662966
"AGRP",0.613660904747701
"AGXT",0.887113337086907
"AHCY",0.75593848399745
"AHSP",1.00807370979453
"AIF1",0.586509754038489
"AIFM1",1.19477967201581
"AK1",0.735007107172964
"AKR1B1",0.836259850606504
"AKR1C4",0.592330436387141
"AKT1S1",0.74826471447528
"AKT3",0.639338082514404
"ALCAM",0.235104851501123
"ALDH1A1",0.644738479937218
"ALDH3A1",0.780222391869884
"ALPP",1.39844255527158
"AMBN",0.305701218213489
"AMBP",0.245153764487663
"AMFR",0.71784567409107
"AMIGO2",0.257047441638106
"AMN",0.532536460699944
"AMY2A",0.541959516574031
"AMY2B",0.545105119010485
"ANG",0.400048765150805
"ANGPT1",0.948641329253555
"ANGPT2",0.447012578811294
"ANGPTL1",0.330883940145769
"ANGPTL2",0.474980114657328
"ANGPTL3",0.432749445733533
"ANGPTL4",0.533897913441343
"ANGPTL7",0.422533543196011
"ANKRD54",0.651140214446723
"ANPEP",0.314219923192207
"ANXA10",0.92932299016732
"ANXA11",0.745178706531129
"ANXA3",0.794909921905104
"ANXA4",0.796592192932216
"ANXA5",0.337525027701553
"AOC1",0.625050522336564
"AOC3",0.354185432244242
"APBB1IP",0.529373829703011
"APEX1",0.678841968973781
"APLP1",0.599608538506614
"APOH",0.403923774172836
"APOM",0.321219397583652
"APP",0.746861410176705
"APRT",0.541303286762298
"AREG",0.514805365927202
"ARG1",0.598157437803789
"ARHGAP1",0.516764677717391
"ARHGAP25",0.670525190217327
"ARHGEF12",1.17158660735161
"ARID4B",0.468883082043495
"ARNT",0.414667388183642
"ARSA",0.522070939633148
"ARSB",0.626686931593898
"ART3",0.424389477315423
"ARTN",0.49392328870482
"ASAH2",0.615983964172072
"ASGR1",0.366457147631238
"ATF2",0.758900635010603
"ATG4A",0.677539077173761
"ATOX1",0.807793345724126
"ATP5IF1",1.23819989248081
"ATP5PO",0.465544585740672
"ATP6AP2",0.452662190184878
"ATP6V1D",0.292979024994473
"ATP6V1F",0.745159456120925
"ATXN10",0.802373275294479
"AXIN1",1.08326241288578
"AXL",0.311906380239
"AZU1",0.855851010831265
"B4GALT1",0.316291087127504
"B4GAT1",0.286207130028418
"BACH1",0.825877594766902
"BAG3",0.459762984985652
"BAG6",0.404994908876894
"BAIAP2",0.737729932514924
"BAMBI",0.334945146574783
"BANK1",1.2010829161716
"BAX",0.99782795243109
"BCAM",0.273698854526218
"BCAN",0.411139258852459
"BCL2L11",0.493356941593497
"BCR",1.02839416663808
"BGN",1.34167694961662
"BID",0.754428423076602
"BIN2",1.02555579656649
"BIRC2",0.704436182259259
"BLMH",0.359846158536448
"BLVRB",0.769525507700282
"BMP4",0.522062098763659
"BMP6",0.458924758415192
"BOC",0.26753647611624
"BPIFB1",0.762071261482261
"BRK1",0.503026912098118
"BSG",0.238340397073642
"BST1",0.52454797128242
"BST2",0.602606951844983
"BTC",0.82811087617591
"BTN2A1",0.303831564279256
