CpGmarker,CoefficientTraining
cg06500161,17.00925998
cg05744675,13.95258437
cg06568506,13.82196296
cg06192883,12.23263001
cg25158622,12.19830694
cg21176130,12.02437578
cg04086445,10.98748102
cg26033520,10.90564599
cg05468843,10.62982281
cg20347986,10.10912566
cg17500119,9.787889253
cg00701514,9.115600678
cg09848445,8.941770621
cg11202345,8.878946319
cg20495962,8.463309577
cg03234777,7.700728599
cg17150306,7.354093776
cg18853935,6.861233407
cg19887178,6.658877886
cg17287155,6.449416084
cg01937601,6.411191816
cg17473923,6.208270736
cg20054939,6.026955346
cg00799631,5.763856479
cg10409248,5.442668723
cg26983874,5.389290347
cg10196309,5.105151978
cg25921813,4.995013443
cg27396655,4.97731718
cg08858160,4.972265721
cg13639452,4.776249817
cg18090064,4.683732773
cg14414971,4.64778248
cg26971585,4.57921028
cg14870271,4.517734087
cg25320115,4.415211733
cg14350176,4.31524221
cg27314669,4.256053429
cg07814318,4.247185357
cg02031423,4.063302569
cg19881557,4.051764699
cg18051461,3.892889759
cg17662369,3.763269158
cg10944833,3.689243249
cg17086398,3.684868186
cg02780017,3.625446309
cg14712058,3.623731614
cg23436703,3.463279846
cg26301689,3.430548907
cg06915334,3.3584519
cg08980578,3.354596289
cg17763354,3.315351428
cg09037581,3.267680201
cg19519737,3.224491148
cg22130834,3.211711399
cg13661519,3.188693633
cg24166814,3.156089883
cg16544989,3.152952585
cg12025996,3.124486832
cg03173827,3.124062584
cg24088496,3.108200513
cg04816311,3.099000766
cg08138817,3.081472451
cg27306038,3.05510952
cg20156080,3.054738401
cg25758134,3.048474068
cg09171692,3.027447914
cg10386659,3.006596768
cg21053741,2.972509209
cg23516852,2.939527566
cg18011760,2.926921986
cg15926342,2.921580671
cg17871993,2.874773532
cg26066277,2.801247427
cg04739306,2.791001205
cg20103150,2.650858021
cg03546163,2.6283126
cg21348975,2.563433218
cg11178025,2.524454519
cg02436272,2.507375276
cg20687482,2.477441679
cg17154935,2.474201668
cg05512483,2.449143897
cg18728264,2.437325959
cg15144153,2.429421957
cg04858631,2.422748508
cg03636183,2.408381198
cg21684828,2.406598415
cg03607951,2.397528624
cg23630878,2.3908699
cg06686709,2.366044361
cg06893537,2.324839696
cg14777903,2.276467774
cg17176002,2.259760937
cg04863182,2.220542352
cg26125956,2.177640758
cg19763210,2.176847926
cg01975495,2.140403093
cg01219048,2.138805527
cg00376553,2.087267197
cg13959647,2.079968767
cg22287067,2.070079909
cg13123009,2.059881984
cg27243685,2.010818519
cg09683562,2.009110173
cg11832534,1.990488133
cg07706687,1.930924892
cg15551881,1.91807272
cg13152952,1.871452664
cg21166317,1.871035043
cg09249494,1.868554607
cg16407699,1.859015366
cg06070592,1.829627776
cg06422039,1.821964995
cg27017658,1.817408123
cg17397672,1.81456616
cg17739555,1.807186226
cg01760756,1.780320053
cg23294158,1.742960347
cg00347563,1.741386686
cg00785522,1.731710437
cg16663980,1.722522626
cg02295678,1.701975309
cg00572560,1.701014998
cg00661947,1.699176086
cg15512289,1.695563158
cg23079012,1.673973028
cg19603885,1.628989917
cg24865495,1.610125795
cg12395284,1.601360412
cg09975683,1.57784235
cg00976097,1.542519429
cg07461772,1.536953394
cg15841711,1.535185367
cg01102307,1.526872753
cg20318217,1.516014023
cg07059783,1.501492736
cg06872331,1.465241948
cg20902758,1.44219044
cg19308769,1.428899816
cg05018460,1.425616134
cg10397774,1.40552252
cg24203758,1.404272821
cg00848480,1.396414446
cg16342193,1.394982283
cg07769588,1.390661389
cg18896032,1.374989342
cg10296513,1.365459048
cg07808661,1.355915875
cg26785154,1.351300208
cg20722088,1.345358151
cg04874782,1.340176809
cg02415963,1.337084303
cg02346342,1.328101807
cg04963480,1.325300643
cg16139770,1.32443778
cg26466789,1.307216756
cg23208152,1.297310713
cg16010178,1.293238214
cg07556915,1.291127303
cg20793665,1.271151978
cg16709904,1.235614087
cg13316407,1.235018688
cg26749414,1.220950074
cg20842253,1.215321239
cg09537553,1.212516103
cg08768569,1.210258634
cg10200291,1.209791608
cg24724587,1.17241154
cg01526748,1.158584638
cg21375204,1.147178767
cg26160945,1.140507037
cg12850242,1.118497388
cg05991534,1.11764301
cg02023728,1.09734813
cg14832998,1.077164686
cg00374333,1.074842913
cg13041683,1.071343496
cg19903619,1.069266611
cg05700142,1.062235771
cg23091255,1.060474461
cg16214653,1.057462917
cg27153059,1.05571412
cg23855030,1.051634624
cg15518923,1.05008941
cg06069861,1.048532508
cg05413285,1.047066524
cg09187007,1.04563128
cg22660904,1.044016968
cg03951603,1.03079648
cg16705546,1.025457019
cg20627046,1.02340911
cg05601917,1.019613286
cg08312904,1.01657837
cg11453343,1.016014099
cg07134632,1.015546496
cg02469790,1.005294731
cg21787249,0.983524173
cg16415104,0.972076059
cg06179657,0.971753695
cg08377000,0.967509941
cg24543255,0.962453845
cg22173752,0.950780531
cg26890706,0.943324113
cg15488009,0.942077081
cg07904051,0.941096684
cg14170545,0.938819798
cg20285514,0.938593415
cg20716945,0.932578111
cg08076462,0.929852976
cg25956106,0.925994187
cg25215230,0.924358988
cg02811067,0.920508718
cg17307558,0.919185619
cg16208084,0.90722511
cg05797770,0.906971548
cg07904865,0.904643522
cg21726593,0.900711796
cg18576374,0.899387223
cg15092239,0.896205287
cg24924502,0.888007044
cg18539461,0.882190728
cg00221070,0.881176505
cg26855724,0.877285355
cg25223623,0.872263573
cg08666915,0.869321662
cg13060531,0.867715408
cg14955916,0.865542477
cg15835718,0.863005469
cg18007837,0.857569405
cg19256474,0.856891814
cg06898549,0.856802635
cg12051615,0.847133071
cg05404459,0.840820141
cg10438391,0.840798543
cg07043025,0.83975789
cg02344868,0.8381384
cg15429214,0.834115537
cg20783722,0.830362604
cg26902127,0.829309625
cg13198297,0.828295343
cg15571561,0.824487834
cg04289385,0.815745645
cg11414267,0.803980571
cg23235497,0.793442838
cg03527353,0.791592231
cg20311846,0.784119431
cg00441709,0.783181755
cg22376081,0.779536859
cg23972409,0.77863103
cg01838544,0.778408433
cg26165660,0.7726195
cg02589233,0.77198586
cg18872215,0.768602605
cg25918947,0.76179325
cg09496273,0.756559343
cg26203136,0.751785852
cg18815120,0.743400876
cg14759277,0.740169512
cg08399858,0.731851084
cg02276763,0.73153161
cg23367392,0.72469587
cg00678709,0.706930412
cg22778120,0.701916095
cg02337614,0.701095399
cg22163280,0.694661489
cg26118142,0.693986363
cg25667998,0.681070344
cg18376999,0.678095091
cg21229184,0.676072892
cg13764516,0.672122389
cg07839457,0.669657022
cg24827726,0.668053745
cg01025883,0.667598528
cg18604215,0.665114062
cg01495521,0.661726632
cg13136220,0.660909646
cg17569438,0.660535882
cg08284593,0.640812947
cg23551873,0.637879955
cg15587955,0.637504174
cg00702546,0.62797083
cg00474696,0.625118459
cg00994936,0.619612843
cg00134539,0.618982639
cg26161997,0.612017582
cg08367326,0.611234704
cg18926409,0.606930802
cg09908041,0.605497678
cg26346210,0.602355273
cg00600024,0.600284754
cg00897703,0.58485086
cg17810944,0.582915814
cg23493167,0.581862596
