CpGmarker,CoefficientTraining
cg02115394,0.131746696
cg15971980,0.017368832
cg03054303,0.070597003
cg09791621,-0.018956168
cg12736206,0.356005473
cg22225420,0.288944311
cg22407822,0.050545581
cg02998018,-0.453253602
cg07459409,-0.231078362
cg20496693,0.006119665
cg15251779,-0.078108695
cg03070922,0.004033454
cg04142555,0.005831866
cg18090197,0.214226325
cg14728380,0.075618999
cg09929180,0.134622685
cg13529291,0.379711918
cg19474047,-0.211383097
cg04191989,0.182007799
cg03607825,0.065659097
cg05575921,-0.145143088
cg03307749,-0.346871294
cg12832498,0.130838864
cg10623600,0.030792093
cg15847996,-0.06906117
cg25242471,0.110127444
cg10928544,0.019117909
cg02636222,0.589250045
cg08464831,-0.025107211
cg15586193,-0.221205029
cg13296579,-0.009215005
cg22059431,0.251937563
cg00145587,0.133459316
cg27332938,-0.060918577
cg00158683,-0.056277805
cg24147428,0.072478374
cg11965881,-0.281575444
cg08011245,-0.098861158
cg08083251,-0.006485768
cg03619761,0.085144855
cg27246933,0.014523866
cg13798290,0.047619104
cg20072528,0.001649164
cg20545941,-0.000142107
cg14443301,-0.144979785
cg14781281,-0.069613188
cg24163563,-0.153709046
cg20273485,-0.14500429
cg16321474,-0.035307519
cg20475550,-0.011634176
cg02613370,0.019322213
cg12965095,-0.411146312
cg24808223,-0.114145287
cg16446486,0.074554544
cg12654519,-0.399930705
cg26213471,0.304720426
cg07832761,0.088596443
cg26066277,0.002836396
cg09910998,0.145252391
cg00786178,-0.002417971
cg10515332,0.1356915
cg06799298,0.096450401
cg04522671,0.460294702
cg07296835,0.591550194
cg10181822,0.074693513
cg01448562,-0.007837567
cg26887137,-0.001378627
cg07393857,-0.032988785
cg15440392,0.351083975
cg20711828,0.057253204
cg10707964,0.071998825
cg03788227,-0.193089647
cg00287370,-0.176002573
cg17521583,0.003073463
cg15694117,-0.032475256
cg22210337,0.123673961
cg11631265,0.13237515
cg10513328,0.007848538
cg21807313,-0.307892206
cg14126863,0.166957666
cg05828191,-0.136000959
cg23972409,-0.164309178
cg06907708,-0.072669317
cg10468484,0.382937368
cg24125901,0.028116133
cg00474840,-0.334971708
cg04884395,-0.287949102
cg22224989,0.284280313
cg20079298,-0.193609318
cg14337472,-0.115747176
cg23878564,0.057369152
cg27145083,0.071932494
cg21637826,-0.014826169
cg06819963,0.054814783
cg27091763,-0.589556218
cg21848117,0.295822321
cg14070323,0.05428315
cg16593027,0.143388806
cg21033440,0.040651404
cg05544413,-0.008887476
cg24286812,-0.000501069
cg25982965,-0.083497049
cg26326298,0.136646535
cg14802502,-0.015900822
cg02634584,0.265978613
cg20090108,-0.010518991
cg06163411,-0.053903607
cg13675330,-0.015206342
cg16380414,-0.024571647
cg25610515,0.126821277
cg22069749,-0.017657262
cg00680808,-0.021023541
cg19199752,-0.605010654
cg26734888,0.047731126
cg02071292,0.030771539
cg11530693,0.198693965
cg25821785,0.041333146
cg04406910,0.301299434
cg06459916,-0.565433646
cg00976097,0.001276364
cg09490565,0.166405808
cg01170758,1.73011913
cg20710519,-0.007137202
cg12149692,0.801645812
cg20528583,-0.321688396
cg21486233,0.04196653
cg16685990,0.063461083
cg12487497,0.412886416
cg26579032,-0.043262918
cg10432265,0.002218225
cg10139443,-0.40330594
cg03827626,-0.805693532
cg05263479,0.001776334
cg25394505,0.054813927
cg08475931,0.86770828
cg17233202,-0.140812871
cg25221975,0.000596277
cg18213713,0.082977655
cg10401489,-0.002316773
cg00298921,-0.091434239
cg21974358,-0.100464648
cg04349815,-0.079476895
cg00578775,0.020705122
cg06966082,-0.017586672
cg12054453,-0.037976428
cg00804210,-0.067908463
cg08288074,-0.167624974
cg05924543,0.035430192
cg05130482,0.04508869
cg23817627,0.003090813
cg13999210,0.136105114
cg08082788,-0.011412042
cg08264572,-0.014756093
cg03970609,0.11844508
cg23928435,-0.055948101
cg19916129,-0.025560366
cg18740839,0.057573328
cg07029460,0.005709367
cg05926253,0.03193206
cg19415743,-0.079302995
cg19753476,-0.01090827
cg21355042,0.08820698
cg09552652,-0.061460257
cg19903738,0.043195581
cg09935388,-0.220255429
cg26872792,0.056628656
cg03077533,-0.022804833
cg01932247,-0.008289675
cg14034858,-0.000845732
cg20068058,-0.024725685
cg00318111,0.003260799
cg17916960,-0.020713783
cg26090062,-0.012198156
cg09768983,-0.018742515
cg19806221,0.102865548
cg21513826,0.025251094
cg06084702,-0.078652875
cg00790020,-0.016495564
cg25189904,-0.135012477
cg15897613,-0.247847212
cg17170839,0.058012269
cg26768964,0.006885268
cg22507558,-0.076083816
cg12356107,-0.119239065
cg09255514,-0.036610735
cg09333631,-0.078685063
cg05696877,-0.028396611
cg08754268,-0.039335686
cg24010531,-0.01420617
cg17723710,-0.051504998
cg26115370,0.068849172
cg15611176,0.506679582
cg17033087,-0.069183018
cg23837191,-0.018957912
cg02754945,-0.002370713
cg25203627,-0.047592492
intercept,12.2169841
