CpGmarker,CoefficientTraining
cg10573386,1.516013954
cg13560072,1.395849817
cg11084015,1.283488076
cg10321266,1.262161273
cg07597069,0.919146553
cg05218653,0.830123471
cg00077898,0.82460654
cg11207515,0.820809899
cg18392085,0.728251983
cg06088918,0.721915535
cg20077343,0.690528733
cg24169820,0.68828933
cg17833862,0.618940937
cg23079012,0.559433072
cg10696199,0.497231769
cg05442408,0.489234158
cg08038054,0.475085905
cg26775087,0.440183131
cg22371743,0.360668488
cg04136748,0.353693687
cg23288337,0.337801282
cg04561727,0.33418461
cg09648091,0.332646316
cg14142965,0.318849102
cg14708990,0.314720828
cg01558110,0.308366592
cg11704876,0.305392402
cg03616722,0.303090445
cg24714011,0.302953829
cg00231810,0.288636158
cg10506497,0.273628563
cg22872778,0.25502678
cg10752315,0.235468936
cg05609159,0.219465923
cg16595261,0.213776624
cg05852477,0.212553119
cg00585474,0.206675032
cg18881501,0.205415149
cg04834228,0.204354001
cg13914990,0.204187602
cg12205822,0.203213126
cg09462089,0.185391193
cg26394282,0.181399277
cg17479718,0.179810454
cg27222803,0.169928055
cg16395614,0.164037309
cg08189186,0.162036872
cg20037507,0.15693004
cg20543544,0.152011366
cg19770748,0.149597491
cg17201651,0.144176113
cg08376310,0.140730816
cg01518225,0.136160293
cg03984405,0.133474725
cg12486537,0.132074062
cg20811236,0.125638437
cg18050634,0.12328557
cg15235798,0.11909794
cg27305917,0.118889286
cg12723292,0.113167109
cg19033444,0.111156266
cg01933695,0.110594086
cg03423767,0.110054171
cg09341154,0.102111494
cg05168580,0.101745263
cg07894334,0.09999695
cg19920183,0.096750026
cg12945194,0.095026656
cg07933378,0.094453654
cg00145103,0.090226174
cg02229382,0.087363721
cg20012848,0.087114169
cg15043384,0.08525203
cg23279756,0.082644437
cg15939523,0.081502209
cg09359017,0.081298412
cg14250560,0.081180412
cg25037335,0.079886518
cg04418355,0.075576241
cg07520269,0.075096176
cg08926642,0.07405971
cg14532376,0.073767868
cg05720891,0.073547864
cg04060128,0.07058458
cg21357361,0.070482935
cg23294158,0.070426894
cg23657179,0.070371489
cg07708286,0.070324982
cg21476494,0.067692681
cg05634428,0.064628837
cg02981731,0.061286478
cg05251669,0.059771508
cg26644049,0.059587133
cg06530441,0.056338843
cg26047066,0.055514132
cg19850024,0.054378544
cg22709563,0.052898784
cg00449767,0.052168867
cg00340052,0.050752984
cg05857996,0.049945945
cg17221856,0.048961003
cg08363339,0.048094185
cg19863595,0.044167166
cg05265884,0.043978382
cg10090414,0.043891766
cg04191989,0.042146431
cg08896053,0.041778207
cg14752227,0.04162821
cg16204818,0.038678299
cg09776718,0.03794371
cg10143416,0.036272159
cg14294708,0.035981001
cg13953753,0.035348189
cg18336825,0.035287167
cg18153977,0.032426046
cg18568930,0.030747353
cg08570243,0.027164326
cg00950381,0.025744663
cg18758559,0.024384526
cg24870966,0.024229815
cg08466269,0.020297849
cg14071650,0.019645619
cg03464336,0.017462297
cg09154837,0.017009578
cg23832388,0.016733248
cg25740457,0.016464621
cg05543456,0.015172462
cg07318204,0.015118729
cg01074657,0.014956531
cg00853687,0.014791395
cg18712599,0.014596567
cg01175394,0.013911595
cg08399733,0.010958694
cg24261754,0.009354569
cg14778711,0.00867709
cg05046722,0.008481845
cg20235075,0.008075544
cg26744079,0.007437438
cg16900209,0.00642021
cg17702370,0.005926998
cg12097672,0.005740638
cg26996890,0.004866165
cg12253071,0.004666277
cg15209053,0.004057832
cg10861731,0.002996542
cg00011924,0.002599665
cg10623600,0.002534553
cg03256090,9.64438e-4
cg24519533,7.19639e-4
cg15094236,5.80992e-4
cg14523898,-6.1463e-4
cg08617581,-0.001252604
cg09977703,-0.002987346
