CpGmarker,CoefficientTraining
cg07741821,-0.288679939442371
cg02993069,0.197549315710422
cg12477880,0.382630696175029
cg08882472,0.157373232130107
cg24942416,-0.175069074952086
cg07841633,-0.328512207007913
cg00994804,0.388408981866638
cg11218872,-0.120857563901811
cg02451831,-0.158543500877431
cg13382072,0.179888511990628
cg24020235,0.187598498853158
cg17239923,0.232188448933514
cg19030331,0.165102147757661
cg03142697,0.395568575901328
cg24999883,-0.0671553785878867
cg12679760,0.182869387381494
cg23719650,-0.107074091816184
cg11972401,0.0578760807490449
cg23565347,-0.0920343234492849
cg19765472,0.206718289446682
cg04599341,0.198780443418041
cg16831070,-0.0611799072014761
cg06758350,0.282601312863581
cg11151981,-0.0623106061326936
cg08620751,0.134244376743327
cg08849601,-0.0703230826842097
cg02680932,-0.0738431764967287
cg22539182,-0.140314643068905
cg11075561,-0.229284959784406
cg04131721,-0.0856233741962957
cg05042697,0.0328706364546874
cg08118908,-0.0894923009093689
cg12868449,-0.121526995505976
cg11434705,0.174301163372305
cg07574178,-0.0627243809352298
cg01521436,0.108329193709821
cg21731862,-0.0694632580412714
cg01376763,-0.0807316770198019
cg08898211,-0.0566501935076667
cg16932827,-0.0956462450422329
cg11673291,0.166218006616236
cg05289022,-0.153665729492969
cg14886629,-0.133609972370813
cg20866256,-0.140759882027935
cg02705918,0.15959189868042
cg06721796,0.0898629926432174
cg11197061,0.224214629326124
cg08730778,-0.0911227094848777
cg02325250,-0.110540579908292
cg12306427,-0.141878551547778
cg17831791,-0.077739366632846
cg24179825,-0.125302070160447
cg21585414,-0.1118928842472
cg14909179,-0.256152314514651
cg23198222,-0.104868381655327
cg20418711,0.22401676601767
cg11824827,-0.134358841159628
cg08900851,0.13844199778264
cg17238473,-0.0868766894522253
cg19896824,0.220840753803553
cg12732514,0.121357907575414
cg25589972,-0.0898273915761911
cg05725197,-0.144170290466764
cg17709804,0.127942735670992
cg14937633,0.207478211743896
cg24436531,0.213128314040238
cg03847470,0.186300282197925
cg08853223,-0.0684804434307676
cg09547880,0.0894915495456272
cg13112407,-0.0683289557614321
cg26974661,0.319088629952406
cg18077307,-0.232514272804617
cg09777776,0.0664288784152323
cg26037180,-0.254779033915156
cg02869559,0.228822011439315
cg13746740,0.164954079043802
cg16735956,-0.089996930862213
cg10820980,-0.134186624008267
cg00173498,0.0599029108328729
cg07741929,-0.101274868668816
cg16026943,0.21387562412443
