CpGmarker,CoefficientTraining
cg12140144,0.36318117
cg26933021,-0.09050009
cg20822990,-0.007025234
cg07312601,-0.1350924
cg09993145,-0.04263934
cg23605843,0.079387235
cg25410668,0.278005252
cg17879376,-0.202709389
cg14962509,0.18231053
cg24375409,-0.023804586
cg22851420,0.097197819
cg24107728,-0.106542738
cg14614643,-0.043392987
cg00257455,-0.161698597
cg23045908,0.137327056
cg15201877,0.39209762
cg18933331,-0.231762834
cg05675373,0.024479256
cg19269039,-0.017557985
cg16008966,-0.203907755
cg14565725,-0.035564076
cg05940231,-0.106704842
cg03984502,0.222121301
cg25256723,-0.120981399
cg16054275,-0.233968201
cg01459453,0.041907941
cg16599143,0.141980111
cg02275294,-0.142869288
cg21870884,-0.012681435
cg10501210,-0.316526361
cg02901139,-0.073114832
cg11298786,-0.196433893
cg09809672,-0.100326137
cg05940691,-0.059992468
cg12869659,-0.042567598
cg23028740,-0.009884695
cg10959651,-0.038209171
cg00522231,0.018122037
cg01752203,-0.0219794
cg23643435,0.012875413
cg01243072,-0.00132993
cg07589899,0.106602051
cg10855531,-0.300557382
cg22943590,-0.083177673
cg23398076,0.005661222
cg12082609,0.154152131
cg01447660,-0.115749983
cg02085953,0.019920164
cg15149655,0.200278685
cg22809047,0.118967117
cg06639320,0.019738695
cg22454769,0.05186605
cg00017842,0.156359902
cg23606718,0.700747251
cg22061831,-0.177458031
cg12757011,0.155998605
cg01620164,-0.065414051
cg12105450,0.009944802
cg00760938,0.077199533
cg10376763,-0.092087268
cg23077820,0.061010377
cg08166272,0.105439453
cg10523019,0.126151862
cg23462687,-0.18373491
cg20669012,0.126231651
cg03183882,-1.007388736
cg15910502,-0.133774268
cg12941369,0.024191779
cg02244028,0.004509242
cg24888989,1.230382387
cg00702638,0.725076159
cg07303143,0.734120702
cg26614073,-0.12422813
cg15988232,-0.058416229
cg16933388,0.133862484
cg19381811,-0.028321608
cg03019000,-0.084379082
cg01844642,0.093411763
cg04474832,0.120529911
cg03891319,-0.256080839
cg03607117,0.16978081
cg22264409,0.025065715
cg11205552,0.03974515
cg17321954,0.473386142
cg06796779,0.053573181
cg18303397,0.021787708
cg09025210,0.038797211
cg14423778,0.060485029
cg15277914,-0.033373318
cg07553761,0.26245025
cg06737494,0.063912268
cg01059398,-0.008853384
cg26824216,-0.160472039
cg25478614,0.1134933
cg07110949,0.002657343
cg23239150,0.070538403
cg21254939,0.021571616
cg23995914,0.140280611
cg23836737,-0.153545428
cg05960024,-0.001021528
cg10699857,-0.272483609
cg05024939,0.182892899
cg05106770,-0.059972415
cg06690548,0.09471733
cg02650266,0.028818953
cg01511232,0.169550787
cg25148589,0.078558981
cg24843443,0.023702386
cg03364683,0.036554692
cg21815258,0.326223519
cg12608692,-0.002412844
cg20755989,0.241204089
cg12238343,0.061944417
cg02328239,0.16436989
cg21878650,-0.128024668
cg26921969,0.395074581
cg10837404,-0.102091213
cg01883408,0.210085033
cg06448705,0.113571555
cg16983159,-0.165180675
cg08234504,-0.26152552
cg11006267,0.300526161
cg21874213,-0.172139583
cg23500537,0.233705722
cg26843711,0.110106802
cg08587542,-0.106508873
cg10345936,-0.012900832
cg16281600,0.047646923
cg03555227,0.191706264
cg14345676,0.001316012
cg14314729,-0.06706345
cg23517605,-0.07457332
cg01570885,-0.017483676
cg23375552,-0.149639186
cg20052760,-0.087362687
cg16867657,0.895062555
cg21572722,0.25892259
cg00194146,0.025139618
cg01527307,0.150122977
cg22736354,0.123149986
cg10699171,-0.017511895
cg06493994,0.194146067
cg04424621,0.038777571
cg02281167,0.050827556
cg03771840,0.063283934
cg06685111,-0.118050369
cg06462220,-0.400871124
cg08420066,-0.008791294
cg21467614,-0.041302664
cg12753631,-0.341572489
cg18501647,0.016362955
cg04576021,0.190381369
cg10192196,0.103900831
cg18468088,0.271258499
cg03894990,0.001522808
cg01740766,-0.048108887
cg16255583,-0.180263541
cg04642300,1.63032e-4
cg17266282,-0.042249296
cg07095347,-0.022007791
cg00073460,0.059375867
cg16333846,0.226865753
cg13221458,-0.03948023
cg05468948,0.1385783
cg00795927,-0.066373448
cg08911208,-0.094222318
cg22372849,-0.140115536
cg16012294,0.139311157
cg22679120,-0.040224477
cg13931228,-0.248553517
cg27009703,-0.177740737
cg11671968,0.12056816
cg26312920,0.006822853
cg19663246,-0.038644462
cg14396995,0.124112592
cg18442362,0.006510407
cg09748749,-0.202802695
cg20692569,0.031358837
cg23857078,0.234566322
cg21743182,0.002840957
cg09436502,0.056326271
cg00503840,0.048660992
cg04084157,0.358752386
cg14175438,-0.068289683
cg20665157,0.007167281
cg21184711,0.095030843
cg02383785,0.184785161
cg04528819,0.034464913
cg20426994,-0.10138815
cg08097417,0.871371912
cg02821342,-0.238319555
cg20397034,-0.243166838
cg03473532,-0.212957707
cg08280936,-0.236131315
cg08540945,-0.169692254
cg18769120,0.061912688
cg26101086,-0.157277248
cg19859445,0.187400893
cg07502389,0.315775924
cg18267374,-0.211900555
cg00582628,0.020113023
cg16419235,0.114778824
cg23710218,-0.349167653
cg07583137,0.045566547
cg12402251,0.126795101
cg19497517,-0.043395521
cg13586038,0.123252118
cg19724470,-0.10071878
cg07211259,-0.005379403
cg07158339,-0.031781561
cg24046474,0.273014681
cg14059835,-0.01606536
cg10570177,-0.098633561
cg13649056,0.039138961
cg13734401,-0.095656068
cg26581729,0.020094806
cg06231995,0.474820936
cg14411282,-0.257289082
cg12530994,-0.229184375
cg23754392,-0.291911388
cg06908778,-0.157690767
cg22796704,-0.029759398
cg01560871,-0.049569159
cg04268405,-0.131067658
cg18738190,-0.107287066
cg04126866,-0.002395993
cg25427880,0.163755938
cg09671951,0.100547105
cg06888746,0.06636353
cg24838825,0.064357741
cg13848598,0.193738927
cg07906193,-0.028845261
cg12776156,-0.178994003
cg05928581,-0.042510449
cg17627559,-0.041485942
cg23091758,0.105288037
cg04940570,0.289083267
cg10825530,-0.032291929
cg20654468,-0.053720029
cg26552743,0.143274678
cg21992250,0.148220328
