"","delta","beta0"
"cg00043095",5e-05,0.02
"cg00347369",5e-05,0.05
"cg00397986",5e-05,0.05
"cg00466268",1e-04,0.05
"cg00884606",1e-04,0.01
"cg00916884",5e-05,0.05
"cg01435574",5e-05,0.05
"cg01537995",5e-05,0.05
"cg01587896",1e-04,0.03
"cg01699217",5e-05,0.05
"cg01783070",5e-05,0.04
"cg01830294",0.00025,0
"cg02150988",1e-04,0.03
"cg02186542",5e-05,0.05
"cg02266732",5e-05,0.02
"cg02631468",5e-05,0.05
"cg02726121",5e-05,0.03
"cg02796545",1e-04,0.02
"cg02964724",5e-05,0.05
"cg03045635",0.00025,0.03
"cg03111498",1e-04,0.03
"cg03140968",5e-05,0.04
"cg03181582",5e-05,0.05
"cg03430846",5e-05,0.05
"cg03450948",1e-04,0.03
"cg03603951",5e-05,0.01
"cg03874199",5e-05,0.03
"cg04188273",1e-05,0.02
"cg04408488",5e-05,0.02
"cg04431946",5e-05,0.04
"cg04549460",1e-05,0.03
"cg04597433",1e-04,0.05
"cg04633225",5e-05,0.03
"cg04672706",5e-05,0.01
"cg04902729",5e-05,0.03
"cg04996219",1e-05,0.03
"cg05093169",1e-04,0.05
"cg05099387",1e-04,0.05
"cg05182249",5e-05,0.04
"cg05344430",1e-05,0.04
"cg05446424",5e-05,0.02
"cg05666607",5e-05,0
"cg05886671",5e-05,0.05
"cg06469345",1e-04,0.04
"cg06672560",5e-05,0.05
"cg06987468",1e-04,0.05
"cg07195011",1e-05,0.03
"cg07315745",1e-04,0.01
"cg07357987",5e-05,0.05
"cg07557260",1e-04,0.03
"cg07621749",5e-05,0.05
"cg07897248",5e-05,0.04
"cg07950000",1e-04,0.05
"cg08073312",5e-05,0.02
"cg08074851",1e-04,0.01
"cg08448701",5e-05,0.05
"cg08530317",5e-05,0.04
"cg08834401",5e-05,0.05
"cg08961408",5e-05,0
"cg09578028",5e-05,0.04
"cg10094616",5e-05,0.02
"cg10281002",5e-05,0.05
"cg10343742",0.00025,0
"cg10406295",5e-05,0.02
"cg10824063",5e-05,0.05
"cg11334771",5e-05,0.03
"cg11354629",5e-05,0.04
"cg11723848",5e-05,0.01
"cg11848563",5e-05,0.05
"cg12071328",1e-04,0.03
"cg12180703",1e-04,0.04
"cg12417685",1e-05,0.02
"cg12743978",1e-04,0.05
"cg12882697",5e-05,0.03
"cg13078140",1e-04,0.02
"cg13177747",5e-05,0.04
"cg13281139",5e-05,0.04
"cg13368756",5e-05,0.01
"cg13526007",5e-05,0.05
"cg14456683",0.00025,0.05
"cg14473102",1e-04,0.03
"cg14717170",5e-05,0.03
"cg14769207",1e-04,0.05
"cg14834938",1e-04,0.02
"cg14991487",1e-05,0.03
"cg15119027",1e-04,0.03
"cg15186181",1e-04,0.04
"cg15237923",5e-05,0.04
"cg15272362",5e-05,0.05
"cg15493780",5e-05,0.05
"cg15984718",5e-05,0.05
"cg16023545",1e-04,0.05
"cg16033053",5e-05,0.04
"cg16523380",5e-05,0.05
"cg16800165",5e-05,0.01
"cg17037282",1e-04,0.05
"cg17076890",0.00025,0
"cg17152757",5e-05,0.04
"cg17339147",5e-05,0.05
"cg17371081",5e-05,0.05
"cg17412886",1e-04,0.03
"cg17816908",5e-05,0.05
"cg17863912",5e-05,0.02
"cg18097532",1e-04,0.05
"cg18369866",5e-05,0.01
"cg18498593",5e-05,0.02
"cg19042459",5e-05,0.04
"cg19054524",5e-05,0.02
"cg19180624",5e-05,0.02
"cg19283196",1e-04,0.05
"cg19346645",1e-04,0.03
"cg19384289",5e-05,0.04
"cg19401340",5e-05,0
"cg19542816",5e-05,0.05
"cg19711579",5e-05,0.01
"cg19712603",5e-05,0.01
"cg19761848",1e-04,0.05
"cg20097440",5e-05,0.05
"cg20585530",1e-04,0.01
"cg20720059",5e-05,0.03
"cg20926035",5e-05,0.05
"cg21053529",1e-04,0.01
"cg21269843",5e-05,0.04
"cg21426003",5e-05,0.04
"cg21517947",5e-05,0
"cg21859781",5e-05,0.01
"cg22240472",5e-05,0.03
"cg22274395",1e-05,0.03
"cg22277994",5e-05,0.05
"cg22428147",5e-05,0.04
"cg22600043",1e-04,0.05
"cg22653976",1e-05,0.04
"cg22797735",5e-05,0
"cg23132624",5e-05,0.03
"cg23217126",5e-05,0.01
"cg23335460",1e-04,0.03
"cg23405575",5e-05,0
"cg23420260",1e-04,0.01
"cg23774356",5e-05,0.05
"cg23847712",0.00025,0
"cg24154839",5e-05,0.05
"cg24319902",1e-04,0.03
"cg24891539",5e-05,0.05
"cg24989962",1e-04,0.03
"cg25116388",5e-05,0.05
"cg25307168",5e-05,0.05
"cg25599538",1e-05,0.03
"cg25640822",5e-05,0.05
"cg25682299",5e-05,0.03
"cg25951981",5e-05,0.02
"cg25993718",1e-04,0.04
"cg26124980",5e-05,0.02
"cg26332560",5e-05,0.05
"cg26410450",5e-05,0.05
"cg26554592",1e-04,0.02
"cg26565021",5e-05,0.04
"cg27058486",1e-04,0.01
"cg27176138",1e-04,0.03
"cg27254482",1e-04,0.02
"cg27363829",1e-04,0.04
"cg27505273",5e-05,0.03
"cg27625055",1e-05,0.04
"cg27648075",5e-05,0.05
