CpGmarker,CoefficientTraining
cg17140673,2.340499722
cg16000331,1.773403527
cg26832552,1.423056187
cg01185855,1.208232008
cg09984392,1.078890404
cg02823783,0.920291119
cg05922723,0.675312944
cg03281139,0.570111137
cg25158622,0.508475963
cg13899478,0.451094162
cg03639897,0.450156988
cg04816311,0.447240315
cg22813794,0.442218097
cg08912317,0.404048766
cg08864105,0.397432759
cg01959050,0.393641078
cg00908766,0.380549814
cg16533147,0.380221496
cg23594461,0.371558637
cg01242196,0.354332159
cg01041239,0.32864291
cg18997433,0.324376764
cg01634275,0.324343202
cg07015911,0.312922726
cg00917847,0.310669707
cg03546163,0.29845615
cg09397900,0.297876313
cg26500914,0.2949866
cg19631443,0.294828478
cg14262937,0.286639537
cg03443112,0.27106973
cg02250764,0.268242939
cg24033491,0.26432839
cg18998321,0.258316336
cg19201009,0.250351833
cg09503194,0.238846289
cg04228827,0.229821509
cg10168894,0.227075231
cg04259358,0.207695714
cg23815491,0.205606853
cg07839457,0.205406837
cg08365388,0.202460776
cg11739633,0.198934003
cg26221992,0.193494344
cg09975683,0.180371507
cg06017559,0.180303101
cg15661251,0.167382804
cg19197744,0.165621027
cg10427040,0.164502897
cg10249997,0.163037268
cg13435263,0.160382047
cg06942649,0.152605272
cg00326464,0.152330023
cg20983032,0.152030216
cg13817395,0.146504232
cg25484139,0.143251622
cg07671805,0.138740188
cg05137443,0.138643569
cg06989610,0.137942555
cg23719713,0.137520889
cg09442489,0.126656282
cg03309252,0.125377413
cg26631505,0.123412266
cg11063328,0.108388953
cg01739960,0.107032039
cg05780543,0.097453574
cg00632560,0.09574931
cg25631249,0.093971069
cg07871442,0.092004607
cg03826642,0.089054161
cg18329931,0.088008491
cg21560142,0.086558166
cg07676517,0.081650535
cg16875057,0.079675097
cg22062555,0.077075137
cg00089528,0.074631041
cg07298547,0.073787326
cg01511534,0.063989952
cg01331772,0.060325126
cg18078387,0.059836702
cg05512200,0.056955434
cg26033520,0.050935246
cg03663120,0.05023843
cg23951171,0.049995209
cg12643293,0.047726283
cg23301925,0.046658942
cg15727287,0.046197617
cg25765464,0.045867842
cg27266060,0.045310267
cg23231462,0.045054129
