Position	Weight
Intercept	0.695507258
cg27544190	-0.869124446
cg27494383	0.064596615
cg27413543	-0.261275244
cg27377450	0.092440884
cg27319898	-0.211230721
cg27202708	-0.138635766
cg27169020	0.087286864
cg27092035	-0.055768503
cg27016307	-0.035326263
cg27015931	-0.466528425
cg26845300	0.254089345
cg26842024	0.358161798
cg26824091	0.549029142
cg26723847	-0.144822054
cg26620959	-0.040743067
cg26614073	-0.506521375
cg26456957	-0.159361013
cg26453588	0.127052431
cg26394940	-0.166268862
cg26372517	0.126025756
cg26297688	0.959651842
cg26162695	-0.043863368
cg26045434	-0.296285378
cg26043391	-0.361822974
cg26005082	0.283314043
cg26003813	-0.192765894
cg25928579	-0.030298685
cg25809905	-0.216624999
cg25781123	0.019974651
cg25771195	0.304478062
cg25683012	-1.392021375
cg25657834	-0.120291759
cg25564800	-0.004461622
cg25552492	-0.176029721
cg25505610	1.50223047
cg25411725	-0.028135965
cg25166896	-0.002315093
cg25159610	0.224446911
cg25148589	0.179969129
cg25101936	-0.057744615
cg25070637	-0.279922439
cg24899750	-0.307424926
cg24888049	-0.129936396
cg24834740	-0.087006506
cg24580001	0.339639763
cg24471894	-0.057512039
cg24450312	-0.001508834
cg24262469	0.152852459
cg24254120	0.372917726
cg24126851	7.92206e-4
cg24116886	0.187704497
cg24081819	-0.00950238
cg24058132	-0.243414212
cg23941599	0.266499641
cg23786576	-0.359681997
cg23662675	0.600765489
cg23517605	0.128377865
cg23180365	-0.17318824
cg23124451	-0.118914538
cg23092072	0.999917662
cg22947000	-0.385598354
cg22920873	0.114374788
cg22901840	0.078584998
cg22809047	0.160173786
cg22736354	1.718507337
cg22679120	0.008321411
cg22637507	-0.161364515
cg22613010	-0.00136474
cg22568540	0.020951084
cg22449114	0.009556913
cg22432269	-0.047520857
cg22289837	-0.057604916
cg22197830	-0.214854921
cg22190114	0.122000415
cg22171829	-0.133887348
cg22006386	0.027954025
cg21950518	-0.002510616
cg21870884	0.135875207
cg21801378	0.205911023
cg21460081	-0.150206847
cg21395782	-0.123872644
cg21378206	0.195972049
cg21370143	-0.054401836
cg21305265	-0.045368222
cg21211748	-0.166397828
cg21096399	0.119679089
cg20999813	-0.387628988
cg20947775	-0.216873362
cg20914508	-0.003601976
cg20828084	0.14446198
cg20795863	0.094275521
cg20761322	0.116737935
cg20692569	0.744776072
cg20524216	-0.389841338
cg20305610	-0.164360384
cg20295671	-0.028008213
cg20240860	-0.052478619
cg20100381	-0.120248941
cg19945840	0.62850032
cg19853760	-0.241884461
cg19761273	-0.88692879
cg19724470	-0.104549906
cg19722847	-0.452037396
cg19706682	-0.103539266
cg19692710	0.021362462
cg19569684	-0.2860950829999999
cg19514928	-0.005027927
cg19478743	0.122668557
cg19420968	0.098912421
cg19346193	0.149635977
cg19305227	0.019259662
cg19273182	-0.754588838
cg19167673	-0.47038013
cg19046959	-0.069773889
cg19044674	-0.055931441
cg19008809	0.590929745
cg18984151	0.315009523
cg18983672	0.201888482
cg18956095	-0.478583455
cg18573383	0.554265536
cg18440048	0.356369685
cg18328933	-0.37048069
cg18180783	0.121873904
cg18139769	-0.089986969
