CpGmarker,CoefficientTraining
cg00003994,0.111111111
cg00023464,0.142090045
cg00049440,0.815778604
cg00052482,-4.858753931
cg00073543,0.477075589
cg00084338,0.500206526
cg00115654,0.396117307
cg00117599,0.985543164
cg00192773,0.202395704
cg00228017,0.358942586
cg00296038,0.058653449
cg00300637,-1.717081179
cg00310410,0.601404378
cg00330279,-2.180170948
cg00332802,0.956629492
cg00346985,0.461379595
cg00423487,0.870301528
cg00462168,0.167286245
cg00488692,0.068153656
cg00512563,0.154017317
cg00523379,-3.003317242
cg00534318,0.02684841
cg00554993,-7.108214462
cg00563845,-5.61541388
cg00603274,0.042544403
cg00612299,0.485336638
cg00614360,0.154481619
cg00645579,0.456009913
cg00655552,-4.907559966
cg00697033,0.885997522
cg00717825,-2.147692587
cg00720845,0.612143742
cg00757033,0.443147166
cg00773060,0.348203222
cg00788025,-0.17153407
cg00800780,0.22015696
cg00864474,0.159438249
cg00877212,-3.067518357
cg00894378,-0.724803402
cg00911370,0.425857084
cg00998451,0.347377117
cg01005582,-2.600322436
cg01023759,0.329958964
cg01032119,0.352333746
cg01077274,0.547707559
cg01082242,-18.03942941
cg01091514,0.497103854
cg01103827,-1.05529508
cg01109734,-10.38002006
cg01136167,-0.300500377
cg01146808,-3.748522516
cg01161889,0.998760843
cg01168235,0.257331681
cg01205087,0.854192482
cg01220680,0.161503511
cg01221209,0.578273441
cg01302136,0.985956216
cg01321673,0.275919042
cg01329511,0.858323007
cg01439105,0.064436183
cg01449677,-2.986424451
cg01454752,0.119785213
cg01461718,0.047501033
cg01486146,0.414704667
cg01518465,0.448161917
cg01524149,0.228831062
cg01557547,0.222222222
cg01557754,-14.19144026
cg01577414,0.406856671
cg01597480,-13.2096797
cg01603290,0.031489329
cg01615339,0.081784387
cg01619129,0.946716233
cg01659184,0.922346138
cg01682285,0.446096654
cg01687862,0.023957043
cg01691194,-0.786772172
cg01711322,0.370095002
cg01770362,0.165634036
cg01791648,-11.29042322
cg01831904,-0.397266613
cg01835620,-10.87417536
cg01896085,-7.766660478
cg01900832,-2.759109098
cg01902704,0.987608426
cg01905210,0.074762495
cg01927000,-2.016362741
cg01964856,0.328693662
cg02012043,0.165515438
cg02021288,0.407269723
cg02042310,0.230896324
cg02058357,0.988021479
cg02059055,0.436596448
cg02088403,-8.86095401
cg02171545,-0.624365099
cg02192678,-0.812560546
cg02208820,0.9748038
cg02218884,0.382899628
cg02230495,-7.379725125
cg02232751,0.556794713
cg02244288,0.579548515
cg02247160,0.868649318
cg02254551,0.78314746
cg02254885,-31.56205228
cg02256455,0.331268071
cg02283691,-3.635590671
cg02339392,-13.60087486
cg02414626,-9.599638179
cg02462416,0.78149525
cg02462487,-10.99045336
cg02464608,-0.867544907
cg02466947,0.002065262
cg02492920,0.085088806
cg02578470,0.242461793
cg02593958,0.494423792
cg02595575,0.104089219
cg02598071,0.411400248
cg02610222,0.014869888
cg02693210,0.192895498
cg02697373,0.450227179
cg02704502,0.708798017
cg02762115,0.451466336
cg02771117,0.477488641
cg02773041,0.332094176
cg02794779,0.536555143
cg02822381,0.404378356
cg02825527,-1.537335265
cg02867102,-22.53153968
cg02897366,0.246592317
cg02952809,0.427096241
cg02955354,-3.96636512
cg02965712,0.403139199
cg02975922,-1.647494016
cg03000848,0.367350292
cg03021329,0.370921107
cg03036592,-5.844458353
cg03058664,-0.197486923
cg03071793,0.600578273
cg03092551,-8.00411954
cg03162143,-6.497405087
cg03167948,-9.443811309
cg03214087,-6.279458195
cg03231447,-3.471954901
cg03283486,0.914498141
cg03286774,-1.026438361
cg03303325,0.353985956
cg03336167,0.422139612
cg03338903,0.888062784
cg03360992,0.288310615
cg03508235,0.925237505
cg03519011,0.603056588
cg03520471,-13.57242019
cg03555424,-0.407145828
cg03565475,0.99834779
cg03593550,0.22180917
cg03598731,0.579925651
cg03622371,-1.146849747
cg03694580,0.898802148
cg03719092,0.516315572
cg03723356,0.907476249
cg03732007,0.593969434
cg03734594,0.334159438
cg03777083,0.883106154
cg03778594,-1.705457676
cg03780701,0.535315985
cg03783925,0.610904585
cg03805684,0.999586948
cg03817794,0.689384552
cg03843656,-0.603987685
cg03848483,0.235026848
cg03857047,-4.908563925
cg03869874,0.195373812
cg03882270,0.994217266
cg03895593,0.543990087
cg03923640,0.227178852
cg03926598,-2.324928672
cg03950166,-14.36951799
cg03950599,0.104915324
cg03980370,0.684840975
cg03987653,-1.426381623
cg03990139,0.126163057
cg04000281,0.501858736
cg04030848,0.424617926
cg04038163,0.634035523
cg04042468,0.456422966
cg04091063,0.51094589
cg04120413,0.253614209
cg04214075,0.078893019
cg04218812,0.210656753
cg04218880,0.211069806
cg04229059,-19.17402516
cg04231636,0.148698885
cg04307987,-1.883815152
cg04322572,-0.351138817
cg04336659,0.484510533
cg04348250,0.126394052
cg04358463,0.301528294
cg04367197,0.111524164
cg04399631,0.315572078
cg04407388,-6.383957427
cg04418999,0.992978108
cg04445851,0.367616687
cg04474049,-1.422960028
cg04505252,0.674101611
cg04528771,-5.803851963
cg04571584,0.99669558
cg04655136,-0.261653393
cg04658021,0.828170178
cg04666465,0.358116481
cg04673465,0.412226353
cg04691795,-3.920280918
cg04694619,0.736672771
cg04717802,-0.327324026
cg04751549,0.546881454
cg04753583,0.501032631
cg04781580,0.548120611
cg04784327,0.722841801
cg04785284,-6.408203723
cg04788957,0.873605948
cg04820362,-0.063593782
cg04845466,0.258570838
cg04872689,0.547294506
cg04956585,-1.433182265
cg04995300,0.491532425
cg05034363,0.018174308
cg05045517,-1.219802109
cg05048976,0.34613796
cg05055782,0.050805452
cg05102552,0.14787278
cg05152300,0.859975217
cg05155047,0.983890954
cg05179172,0.526641884
cg05248542,0.515489467
cg05265042,-8.911883308
cg05265359,0.424204874
cg05280698,0.086741016
cg05295671,0.12432879
cg05309877,-1.498728783
cg05324407,0.122240792
cg05331334,-0.860292814
cg05355167,0.867823214
