CpGmarker,CoefficientTraining
cg00022866,0.693552169
cg00466249,-0.825574907
cg00546897,-1.358515557
cg00575744,-3.829285657
cg00689340,0.960342616
cg01056568,0.205166173
cg01184449,0.782781706
cg01348086,-1.315722727
cg02100629,0.559208809
cg02813863,-1.065914374
cg02941816,1.355500313
cg03086857,1.099332738
cg03427564,-7.938111565
cg03506489,6.338893288
cg03923277,-0.336962392
cg04001333,-0.093610635
cg04323187,1.993035008
cg05294455,2.188729266
cg05365729,0.700550879
cg05512756,0.264360849
cg05564251,-0.855402625
cg05898102,-1.3309569
cg06049972,1.640250703
cg06311778,-4.172684301
cg06471905,0.155757134
cg07017706,-4.798856484
cg07141002,-0.166761117
cg07197059,0.092052835
cg07664183,-3.191022778
cg07679836,0.048825453
cg07747299,-0.001115378
cg07816074,-0.982600076
cg07922606,0.766205564
cg07955887,2.794444606
cg08170622,0.200090638
cg08251399,0.355638781
cg08723608,-0.78886985
cg08888956,0.057371273
cg08899632,2.906628076
cg09011597,-3.147386559
cg09539538,1.055321608
cg09594841,0.379085183
cg09616556,-0.1960819
cg09730361,3.512797132
cg09881855,-0.111788311
cg09904573,0.960375231
cg09971646,0.87675008
cg10459515,-3.163295415
cg10927536,-2.993350142
cg11299964,1.536460205
cg11303670,-1.222846734
cg11469321,1.805753988
cg11647681,1.088728778
cg11777321,-0.801064552
cg12340144,0.877303135
cg12478809,-0.016394429
cg12601987,8.418588312
cg12721546,-5.872531669
cg12741488,-1.705814489
cg13129046,-0.064280083
cg13264741,-1.563323217
cg13269407,0.368568647
cg13514050,2.292804952
cg13686115,4.978967999
cg13696887,-0.625612247
cg13954292,7.16945569
cg14348532,13.45987632
cg14659547,-4.227163144
cg14672994,-3.760459611
cg14732136,0.64750176
cg14758413,0.313660196
cg15357945,0.019686166
cg15526708,-2.999365611
cg15856055,-4.452530097
cg16254764,-5.91812029
cg16270890,-1.070681367
cg16301617,-5.195070106
cg16442715,-1.369257073
cg16536918,-0.750313563
cg16545105,-7.204881555
cg16664233,1.857173314
cg16990174,1.153497867
cg17305187,2.244288246
cg17317962,-13.06724894
cg17339202,-0.227341696
cg17451138,3.180467926
cg18236477,0.951387452
cg18487515,-3.968759927
cg18669381,0.704641097
cg19070798,-12.12924468
cg19148051,-3.423732456
cg19257200,0.041137776
cg19286604,0.475874231
cg19403023,0.260764446
cg19403377,0.589526246
cg19486271,-0.534061458
cg19564877,0.543472704
cg19766460,-1.151873469
cg20176532,2.119057171
cg20277670,1.970077542
cg20278498,-13.88750393
cg20394284,-2.292446143
cg20469837,4.238130341
cg20512303,0.893799538
cg20588045,1.027789989
cg20815063,-0.409622944
cg20937139,-14.88553648
cg21207436,2.068573497
cg21468416,-2.737499267
cg21549639,1.433242773
cg21601405,-0.841887494
cg21926612,0.444273606
cg22035229,0.482716795
cg22151768,-1.897281712
cg22402007,0.331076939
cg22580512,-0.723972763
cg22820108,-1.362635865
cg22972055,-0.005074822
cg23222573,-5.206244781
cg23355492,1.443656646
cg23521281,-3.750678617
cg23580000,-4.440709491
cg23858360,0.62324792
cg24030425,1.343272626
cg24134767,3.291432496
cg24620905,0.113282247
cg24794433,-1.403867628
cg25169784,0.889869441
cg25193494,0.266684995
cg25306927,2.819112031
cg25358289,-0.051653012
cg25374854,0.992417171
cg25400358,-1.741659991
cg25511429,4.363323248
cg25604883,2.441394418
cg25651505,-4.143863371
cg25945961,10.44277414
cg26060255,-0.038157166
cg26179948,-12.10898331
cg26385222,2.171892794
cg26394940,-0.219667516
cg26656135,-8.02120804
cg26689483,0.004899036
cg26884581,1.013812162
cg27210390,1.79852676
cg27258399,0.348045155
cg27431150,-0.207052492
cg27544190,1.584096905
