CpGmarker,CoefficientTraining
cg00059225,0.245959207169088
cg00088042,0.182715562789356
cg00252534,0.168223354729321
cg00297950,0.141757731957979
cg00384539,0.178201882950814
cg00491255,0.144507791508852
cg00521255,-0.244362713902632
cg00648582,-0.0391461992355484
cg00771642,0.127725729176794
cg00924265,-0.0685162702929523
cg00935119,-0.0381190384251245
cg00940577,-0.0612173060304666
cg01091514,-0.0322297827006367
cg01122755,0.065710905032472
cg01162920,-0.197356706075695
cg01194538,-0.151609398932669
cg01264729,-0.152423737532223
cg01311102,-0.109216272877634
cg01529637,0.0268096352936574
cg01532168,0.33465592749012
cg01616394,-0.018710086427984
cg01639032,0.515052701365707
cg01641432,-0.00137683511529092
cg01655150,-0.327613491781586
cg01745370,-0.00586429770829635
cg01899542,-0.0509625964903524
cg02046143,-0.00777910913412233
cg02047661,-0.0171169346046661
cg02357838,0.237973414590122
cg02361903,-0.545223385969769
cg02397497,0.0762068373327123
cg02448244,0.0395555532984518
cg02504211,0.134460746868407
cg02524236,-0.0584740180795786
cg02546818,0.0161623605431042
cg02583546,-0.035967310732719
cg02795151,-0.00562707498185813
cg02983424,0.0569641058122464
cg03001484,-0.0258986560014852
cg03025830,0.136317208065775
cg03040821,-0.0574852527977849
cg03048488,-0.125668290324979
cg03591753,-0.452082420612636
cg03594801,-0.06913018835145
cg03613618,-0.13935472414914
cg03633073,0.244650565654803
cg03639603,0.0713357583779982
cg03710354,1.28864416566226e-4
cg03717616,-0.191833581585394
cg03854598,0.195432137464773
cg03864215,-0.350143864428991
cg04031134,0.0207012272109363
cg04036898,-1.32233122600057e-4
cg04055913,-0.0657139280339262
cg04060163,-0.011175201370157
cg04078896,-0.0120007209546706
cg04235075,0.207207662175329
cg04315771,-0.0522219997040027
cg04370442,0.0767179670768174
cg04432319,0.379833864138589
cg04604946,-0.116614868210985
cg04684267,0.56103948302479
cg04686264,0.0999632201088519
cg04704414,-0.0249741505009356
cg04834794,0.863552743570933
cg04880546,0.0304142140934529
cg04913265,0.055065977719769
cg05006304,-0.0996410120980782
cg05030953,-0.0121530468617735
cg05149386,-0.105318094150741
cg05213896,0.0184434563626822
cg05280698,0.259709422706014
cg05333146,0.192521220005352
cg05362168,-0.0134173208127274
cg05396044,0.94442369844747
cg05404236,0.0949139398986023
cg05444541,-0.0118706050944089
cg05634040,-0.0761376235707303
cg05724492,0.0347913872335495
cg05756780,0.0688837085858277
cg05785488,0.581251514858871
cg05795849,-0.0377685371841138
cg05839636,-0.07090781183745
cg06069616,-0.0128466261082771
cg06144905,0.0554813316911249
cg06236737,-0.465674221402537
cg06385324,0.0801655714028337
cg06570818,-0.00406394906499315
cg06645033,0.23463391987062
cg06648759,0.406742868159334
cg06711656,0.156636006123121
cg06751446,0.0835343240619333
cg06852461,-0.00639354609306055
cg07011538,-0.0337365752682905
cg07120479,-0.429315815166326
cg07181374,-0.13102447958791
cg07197480,0.0497859694290346
cg07461572,-0.00144457047722043
cg07544187,0.198878842010214
cg07547549,0.0134357148580988
cg07550554,0.248612600650226
cg07581257,-0.144461075265134
cg07806886,0.0113100028111413
cg08097417,0.559888634343371
cg08193650,0.079222424492033
cg08370996,0.124238003883128
cg08594681,-0.0976415941879906
cg08606497,-0.0136992332174407
cg08708711,0.0354090934550466
cg08727193,0.111876290110859
cg08786136,0.13167062408201
cg08952475,-0.00183423407537576
cg08995871,4.66299138774891e-4
cg09058748,0.00609294370837533
cg09124496,-0.0726600807299395
cg09178970,-0.0244848064706387
cg09254686,-0.208767560089386
cg09363564,-0.148778258308601
cg09372546,-0.018437018782772
cg09407967,0.0765197289231293
cg09468836,0.0274704279794444
cg09664474,-0.711323002932114
cg09731141,-0.00256504861157583
cg09810078,0.039823304667302
cg09888620,0.220047678342178
cg09906752,-0.015248983344957
cg09935271,-0.0195523193401861
cg10027085,-0.00383642254769009
cg10104252,-0.0272235266782694
cg10225362,0.0419217204708269
cg10232140,-0.0178473969484853
cg10359006,-0.106336593026018
cg10378521,-0.204361451687117
cg10389229,0.00641506550107648
cg10460946,-0.237602307782664
cg10501210,-0.305485974121495
cg10574566,-0.0829054526845771
cg10790698,-0.102634842907875
cg10851350,-0.00984925827996638
cg10904972,-0.0784357054080641
cg10924085,-0.0343679087480071
cg10961323,0.0117428980560693
cg11018337,0.102273187131545
cg11071401,0.00301298165025302
cg11120115,-0.194564447202282
cg11397957,-0.128772630938365
cg11462165,0.181734403063306
cg11565355,0.115128853884679
cg11603443,0.116759819699495
cg11719412,-0.0717140621121713
cg12024906,0.0516694698098736
cg12100751,0.0817428799869613
cg12175729,0.0713237693111907
cg12423733,-0.0653702673011873
cg12591491,0.24421376078428
cg12597389,0.558317496595419
cg12637942,0.170557964893035
cg12950231,-0.065643511505452
cg12978800,-0.181821092873215
cg13099374,-0.0473964068996181
cg13259357,0.0368802283164524
cg13298199,-0.0971263521489609
cg13308350,-0.206851721859853
cg13327545,0.172021865979205
cg13477806,0.0334857761220354
cg13718185,-0.00246610869946198
cg13733708,-0.00274409568302228
cg13744194,0.0901097886150945
cg13755546,0.162177579487915
cg13806267,0.0260121174021905
cg13848598,0.311509740382013
cg14189141,0.144865261316739
cg14242024,-0.089108711469679
cg14343652,-0.491611370085905
cg14489570,-0.0668353009945846
cg14507337,0.0465940259170158
cg14577472,0.048497395426318
cg14611683,0.0548207675175738
cg14655122,0.241709503340869
cg14704921,0.215106237502132
cg14759277,0.111320516860126
cg14871932,0.108680660734755
cg15001747,0.43298364357642
cg15022387,0.0444142199816923
cg15341124,0.902436331071739
cg15393490,-0.841071848066053
cg15410236,0.213896475153582
cg15540623,-0.261520680619904
cg15593298,0.337735062774626
cg15638207,-0.691668051003311
cg15665342,-0.0605596404454033
cg15718663,0.11706067318967
cg15925792,-0.307195969151616
cg15927455,-0.35849955344208
cg15974867,0.0231495651138698
cg15988970,-0.00642780816409971
cg16121765,-0.012358856685383
cg16142349,-0.25685070487787
cg16148593,-0.098152768843223
cg16206504,-0.0083123530648646
cg16339238,0.0014344478729707
cg16340422,-0.0292647382048622
cg16359034,-0.0461923093486998
cg16408865,-0.123481638689258
cg16604975,0.0166626495165449
cg16643261,-0.118551576511173
cg16703882,0.0966204627222032
cg16865965,-0.0417045020253748
cg16867657,0.19738643170821699
cg16909962,0.266182424087608
cg17040471,0.0180002660213757
cg17086398,-0.214614359299967
cg17117277,0.414465436518687
cg17341113,1.4400657927592
cg17411994,-0.0762993741318456
cg17435266,0.0616190519469157
cg17523253,-0.0670554096936103
cg17592231,0.687990310731562
cg17640485,-0.312953938888586
cg17693222,0.00318175430857461
cg18077971,0.0867302015675827
cg18125865,0.65840183737761
cg18247055,0.019994142077339
cg18279094,0.35656711063783
cg18427787,-0.0441448389827128
cg18449120,0.00500353934189892
cg18468088,0.229813836757509
cg18480946,0.00979905175522665
cg18504218,-0.00807301428397194
cg18514820,0.222867312742768
cg18540328,0.0226132286256529
cg18549036,4.08849458499137e-4
cg18584803,-0.197692111873341
cg18604199,-0.0521892281018258
cg18626323,-0.0303841075611049
cg19028706,-0.0901704154205723
cg19056004,-0.0433830212303007
cg19142026,0.246874371494991
cg19230755,0.0027683706244734
cg19242851,-0.170816868187275
cg19399220,0.231675157447901
cg19416570,0.217298110106096
cg19699893,0.13548725713492701
cg19724470,-0.0496927984886826
cg19802138,0.0114485800649349
cg19807317,-0.0546721137157576
cg19955173,-0.0675900817811869
cg20185454,0.185590606242011
cg20198242,-0.00581338812609692
cg20429250,0.0221730140728391
cg20495179,-0.34220784774639
cg20516262,-0.00367405787905789
cg20583430,0.0446563521934128
cg20594982,0.200601431661968
cg20603637,0.0412345871579227
cg20627572,-0.0379409969290739
cg20697204,0.0413323569589578
cg20747577,-0.00672565609390495
cg20773033,-0.205063043007282
cg20818778,0.0358953168142251
cg21010435,0.00127566806906579
cg21052766,-0.0232064865752689
cg21186299,0.0546531784486078
cg21218687,0.125445529882829
cg21415530,0.00975911825661216
cg21581504,0.103142053307667
cg21801378,0.301919395295155
cg21826815,0.149087391202963
cg21851534,-0.0365721410163279
cg21865150,-0.00243805216928659
cg21967909,0.137783559440986
cg22007809,-0.0919512161075626
cg22131013,-0.0213741237225978
cg22285878,0.490924307579815
cg22320999,-0.0141227368431139
cg22344793,0.00901415490644138
cg22363327,0.0637604945517357
cg22531668,0.036173432146936
cg22661556,0.103520467944914
cg22714290,-0.0507599471984559
cg22884541,0.14417821898595
cg22900415,0.0435140263315335
cg23051272,-0.0698148627985847
cg23091758,0.116853022874505
cg23124451,-0.367663333393172
cg23163283,-0.11662805280092
cg23166770,-0.405540536687983
cg23174607,0.470227183878195
cg23201812,-0.00435060884924923
cg23352942,-0.0709361462204809
cg23474190,-0.0992123410736962
cg23606718,0.252157086203126
cg23636833,0.0540997869057344
cg23661344,-0.0953841341738616
cg23662138,-0.145369610634746
cg23684204,0.366563755786113
cg23813012,0.0964584057915248
cg23896431,0.108348184654697
cg23939875,-0.00274688581568365
cg23995914,0.130590755795933
cg24085039,-0.0266475681998241
cg24231804,-0.0610665033623204
cg24287218,-0.0578640294451475
cg24346776,0.0368896527604094
cg24377285,-0.0034625549408947
cg24420164,0.011498750427574
cg24483655,-0.118072377389176
cg24567591,0.00663022543368226
cg24715767,0.0344059523073145
cg24718465,0.0980722834454422
cg24933925,-0.062670922072708607
cg24990808,-0.0417351893033595
cg25007705,-0.247606636745907
cg25018458,0.519600775645429
cg25090514,0.500066597972122
cg25114611,-0.155884706450401
cg25201359,-0.391913870444257
cg25459323,-0.0912803664030408
cg25922329,-0.0449030514293553
cg26092675,0.0928321315141492
cg26115633,0.278014011787635
cg26161329,0.649836830822322
cg26242531,-0.343803282366463
cg26306636,0.672471847447117
cg26332630,-0.0217054835135998
cg26377000,0.0683737067063777
cg26384036,0.0832048912920336
cg26472036,-0.215949490197657
cg26490949,0.393728955483704
cg26542283,0.0646067267399255
cg26645401,0.238064741837856
cg26660754,-0.387927593567355
cg26726230,0.0810718514064312
cg26782108,0.0939352626288328
cg26856080,0.254849914128222
cg26885220,0.157397621713226
cg26952697,-0.057566273333077
cg26952796,-0.0916588250152971
cg27013696,0.188907562323099
cg27043838,0.00732047216526315
