CpGmarker,CoefficientTraining
cg13077366,0.002317107
cg13679303,0.001119662
cg19214707,-0.013891435
cg18593317,-0.002025559
cg03463778,-0.009562727
cg26626449,0.065095982
cg05630272,-0.020258524
cg23522872,0.003346336
cg12588880,-0.007966549
cg13074055,-0.010243933
cg02655711,-0.015688722
cg12624197,0.028809624
cg05843457,0.002753777
cg10963061,0.019885685
cg12121643,0.047365109
cg23613051,0.037816888
cg26504835,0.003141486
cg23063825,-0.004254683
cg25188006,0.002840818
cg00887153,0.002047969
cg16574737,0.001644169
cg25283121,0.010059863
cg23239574,0.013813808
cg25564433,0.002602971
cg10612096,0.002350018
cg13903421,0.00478716
cg16268165,-0.006558055
cg00600477,0.017961602
cg10516993,0.016836676
cg03930209,0.002203875
cg01588581,-0.004432162
cg08222618,-0.012299581
cg14870156,-0.000389749
cg23655769,0.057015043
cg19959041,0.009482892
cg21429551,-0.011492442
cg24811352,0.017018952
cg16558846,-0.032713888
cg19419291,-0.041221242
cg27331471,0.003165874
cg06432119,-0.011487562
cg10441522,0.001516881
cg05190790,0.036117966
cg06667732,0.001940733
cg01788444,0.016960076
cg04972046,-0.011975463
cg18565717,0.032162875
cg20045320,-0.014565681
cg06126421,-0.092804266
cg05189127,0.009222981
cg09693106,-0.005593459
cg05237015,0.009811696
cg24592500,-0.006299227
cg20411935,0.005043958
cg12724894,-0.043670568
cg21566642,-0.02999356
cg06484000,0.023510461
cg09577324,0.015916006
cg04646173,0.00998337
cg01844176,0.000236429
cg07809027,-0.082318277
cg26820168,0.002165541
cg18328334,-0.03144112
cg14953666,0.047669548
cg21530915,0.005404506
cg00813752,0.027821153
cg10577630,0.004515186
cg18172135,0.025281032
cg07636176,0.053583816
cg14339650,-0.004764784
cg09935388,-0.032676077
cg05696877,-0.025757203
cg07316943,0.017110526
cg17667035,-0.023724497
cg05955210,0.023100634
cg25955817,0.000427158
cg20184247,-0.008769789
cg22976313,-0.006543982
cg23484392,-0.077999964
cg16631911,-0.013725494
cg01505878,0.013736434
cg07856155,0.045542241
cg05951221,-0.047069377
cg23808213,-0.004552446
cg07156669,0.01318401
cg08447739,-0.000414122
cg09955413,-0.004192317
cg20367961,-0.05246174
cg02398106,0.04657032
cg08019058,0.011679803
cg12175883,0.018415319
cg13040693,-0.000262207
cg05567646,0.025046092
cg12145624,0.00559569
cg25265764,0.002319187
cg22454769,0.02024189
cg20433262,0.030634752
cg19693031,-0.148971487
cg14758072,0.000118137
cg04095327,0.010707817
cg21917349,0.010356165
cg18557185,0.014131775
cg07820189,-0.016546261
cg14259096,0.091147249
cg11511795,0.022354815
cg18680834,0.005250481
cg03487276,0.001290059
cg15035911,-0.012152293
cg16164607,-0.058832821
cg22262757,-0.007536629
cg07822074,-0.061618315
cg15366301,-0.027249508
cg00299396,0.003127431
cg00908323,0.012446924
cg23950724,0.031960532
cg02379107,0.085345377
cg00875849,-0.00624984
cg18060171,-0.0192608
cg00647040,0.00580907
cg24806066,-0.003898312
cg27629145,-0.012099266
cg21549285,-0.029316266
cg01127300,-0.046271326
cg25438876,0.006580016
cg24434988,0.025098239
cg15059474,0.013482768
cg00151370,0.061897402
cg10271880,0.012691353
cg24102222,0.001920262
cg24117468,0.011959498
cg02805612,0.009932979
cg25642476,0.029258814
cg27134322,0.056090817
cg23923820,0.02277023
cg22862003,-0.01224171
cg06710648,-0.04324721
cg00996053,-0.001330142
cg07871503,0.094829311
cg02245467,0.01858334
cg08132072,-0.02897729
cg09731113,0.043632268
cg15414773,0.052172983
