CpGmarker,CoefficientTraining
cg06500161,0.446551968
cg06192883,0.272990813
cg22130834,0.268790324
cg25158622,0.267746297
cg06822952,0.266457601
cg12216054,0.264949841
cg05468843,0.228348643
cg26033520,0.223509495
cg09249494,0.188267
cg17287155,0.180714163
cg10144104,0.180543329
cg07814318,0.180099224
cg18752987,0.176186529
cg19338222,0.17354177
cg14712058,0.162539173
cg09037581,0.16172534
cg03546163,0.151126063
cg13556604,0.149472197
cg11202345,0.145423505
cg26542214,0.142402348
cg11347311,0.142022428
cg15574924,0.140021442
cg24687805,0.132165163
cg24009074,0.131993143
cg02810156,0.131219492
cg02780017,0.12723617
cg18896032,0.127205592
cg12025996,0.127186594
cg16544989,0.126283557
cg20054939,0.125628354
cg02754722,0.12400026
cg16663980,0.123262575
cg06221680,0.123040144
cg15144153,0.120526458
cg05088677,0.119570451
cg14870271,0.118314203
cg27567587,0.115523554
cg06898549,0.114331476
cg03353885,0.111898622
cg02436272,0.110055542
cg10549986,0.109710253
cg13152952,0.109043746
cg22252970,0.107669572
cg23079012,0.107668092
cg01757206,0.105002508
cg01495521,0.102554194
cg18090064,0.101599891
cg07346648,0.101161065
cg03043665,0.101158737
cg18708960,0.10081837
cg07069089,0.100312712
cg19519737,0.09977025
cg07808661,0.098978189
cg11024682,0.09586049
cg20793665,0.095564441
cg02595681,0.092664042
cg13837295,0.089230625
cg15138339,0.088689544
cg10927968,0.08860032
cg17763354,0.08846545
cg27314669,0.087830188
cg26614970,0.087549302
cg04176585,0.086176483
cg14246703,0.085937071
cg07729082,0.085795608
cg17086398,0.085542191
cg22488164,0.085179092
cg15512289,0.084353906
cg14775504,0.084348301
cg17823321,0.084115813
cg04739306,0.083910604
cg14414971,0.082272782
cg18011760,0.081112131
cg03173827,0.080884958
cg15408889,0.079580068
cg24088496,0.078502381
cg04833017,0.077691444
cg14435720,0.07726913
cg08737094,0.075696449
cg13523713,0.073981971
cg23730436,0.073766335
cg17071045,0.073343045
cg22173752,0.072850239
cg18853935,0.072749
cg26836402,0.072478037
cg09207578,0.072150247
cg27414571,0.072124775
cg15871086,0.071637382
cg05229355,0.069845474
cg11927233,0.069282563
cg05304729,0.06864791
cg09537553,0.068581486
cg02415779,0.068129947
cg08051604,0.067644592
cg26983874,0.066941882
cg17662369,0.066774982
cg09053902,0.066679216
cg19918549,0.06529475
cg27297025,0.064753947
cg09679945,0.064601498
cg15551881,0.063651014
cg01845244,0.06322552
cg07769588,0.062814918
cg27243685,0.062399809
cg10698984,0.060688278
cg25839724,0.060660378
cg03636183,0.060412591
cg09848445,0.059282953
cg17485681,0.058081288
cg17871993,0.057361244
cg13916516,0.057120603
cg03234777,0.057064309
cg00801868,0.056862663
cg24033122,0.056201759
cg10832495,0.056094706
cg09697999,0.053795709
cg14170545,0.052545471
cg08415417,0.051297951
cg20103150,0.051019828
cg04221794,0.050786244
cg00785522,0.050572491
cg16407699,0.050051449
cg00799631,0.049552346
cg03527353,0.049196381
cg21587837,0.048803724
cg04992974,0.048660583
cg10426464,0.048212149
cg26041493,0.04820892
cg14236957,0.047594491
cg10824187,0.047567243
cg26066277,0.047382818
cg00848480,0.046424147
cg23630878,0.046408529
cg03985801,0.045759826
cg07310677,0.0456937
cg02346342,0.045439211
cg17733447,0.045109508
cg02811067,0.044919186
cg09357276,0.044830389
cg25134909,0.044644124
cg09171692,0.044057461
cg17068236,0.044050611
cg07839457,0.04351229
cg26403843,0.04337841
cg08024316,0.042839322
cg21825757,0.042711596
cg25731074,0.042571682
cg19881557,0.042521994
cg02843237,0.042486179
cg14792160,0.041822449
cg11152825,0.041655849
cg01760756,0.041286304
cg06572904,0.040866371
cg24910161,0.040833897
cg14186846,0.040517205
cg17024258,0.040385946
cg22376081,0.039939995
cg09672440,0.039857097
cg06893537,0.039505227
cg06422039,0.039324004
cg20286203,0.03857078
cg23744638,0.038539556
cg08223357,0.038308533
cg00533923,0.038300137
cg17307558,0.038280884
cg14777903,0.038213481
cg17546721,0.038107164
cg13123009,0.037662819
cg04816311,0.037500214
cg09117114,0.037023566
cg15694127,0.036937461
cg25623721,0.036841198
cg14660446,0.036631856
cg20318217,0.036557887
cg15488009,0.036174333
cg18815120,0.035985842
cg17586094,0.035704822
cg22138327,0.035669317
cg02504211,0.035617024
cg19998151,0.035552108
cg03607951,0.035349793
cg09290735,0.035217578
cg08666915,0.035038776
cg15092239,0.034565197
cg11537406,0.034272877
cg02415963,0.034062705
cg08104563,0.033655224
cg18926409,0.033605061
cg27306038,0.033560634
cg16113433,0.03350159
cg04235519,0.033446238
cg03407441,0.033036317
cg06423425,0.032619476
cg14955916,0.032447414
cg06260077,0.032371752
cg25221975,0.032145497
cg03210340,0.031947142
cg13008301,0.031770765
cg06070592,0.031430197
cg06492144,0.031212489
cg04413644,0.030356901
