CpGmarker,CoefficientTraining
cg26832552,1.870274369
cg19631443,1.753468228
cg17901584,1.734638956
cg01185855,1.548874803
cg16000331,1.445273037
cg09984392,0.911082063
cg25739715,0.842405435
cg05119988,0.607009285
cg05922723,0.577074414
cg20113693,0.555421903
cg19201009,0.503527371
cg07839457,0.498492386
cg02901884,0.470432158
cg02823783,0.470009157
cg03281139,0.427836625
cg16533147,0.416852778
cg03639897,0.390847723
cg08912317,0.378266537
cg06572420,0.363392349
cg03443112,0.360924044
cg00448707,0.354301769
cg00917847,0.337951088
cg22813794,0.320122284
cg00908766,0.319364856
cg01634275,0.311722742
cg23594461,0.311707335
cg04254198,0.308392314
cg12054453,0.304752183
cg01242196,0.286292536
cg26500914,0.269395728
cg23900422,0.244549784
cg05541367,0.237908615
cg09373015,0.235701026
cg18997433,0.232957662
cg23815491,0.223854465
cg13899478,0.222517246
cg03826642,0.212256026
cg09978077,0.191862115
cg15727287,0.18034667
cg00373376,0.176757961
cg10249997,0.167523234
cg02320083,0.132908453
cg01959050,0.130448815
cg26337020,0.126733696
cg18998321,0.126357344
cg22062555,0.124733894
cg01115389,0.119572812
cg21926612,0.109879908
cg26769927,0.109757496
cg26644049,0.109456921
cg07281125,0.108735093
cg01041239,0.108323168
cg13435263,0.098629816
cg02749887,0.098328036
cg15148918,0.091301667
cg13423098,0.089875411
cg26744056,0.084473158
cg22935921,0.081494498
cg11739633,0.079996845
cg08864105,0.079945303
cg19495969,0.078074669
cg18779601,0.076107608
cg07085632,0.074671651
cg05137443,0.070836752
cg07552087,0.065149228
cg20421482,0.061512427
cg27209741,0.060011565
cg07671805,0.056896979
cg05512200,0.055137099
cg17107156,0.054906272
cg25765464,0.052035447
cg05845533,0.047194869
cg22425359,0.044419785
cg05780543,0.042745827
cg06565641,0.042612578
cg16411857,0.040727815
cg16877615,0.040664326
cg26141173,0.037896299
cg19037007,0.03760539
cg17540192,0.031914666
cg00914384,0.029973701
cg07871442,0.027296043
cg27266060,0.027064646
cg14768256,0.025403187
cg25242471,0.022541653
cg01243312,0.021716762
cg05122437,0.021446712
cg12897067,0.019775204
cg11848748,0.017881916
cg08934126,0.016679483
cg17974166,0.015239377
cg23613051,0.012498721
cg05852052,0.01249479
cg06118351,0.011734707
cg05306310,0.011725382
cg06679494,0.010666897
cg07676517,0.010576548
cg25325723,0.006863596
cg25597117,0.006499931
cg11132536,0.005090426
cg18535611,0.004086013
cg03995300,0.000848583
cg03426198,-0.001539217
cg17371170,-0.002096827
cg00388605,-0.00267174
cg24669602,-0.00558401
cg16133681,-0.00586686
cg05729249,-0.009128767
cg27404186,-0.009738612
cg02376282,-0.011330598
cg18789547,-0.014803345
cg07109358,-0.018853051
cg07955995,-0.018988045
cg03641066,-0.021629949
cg14662585,-0.026384223
cg07015784,-0.031404659
cg27269488,-0.031961427
cg21869046,-0.033859429
cg27557134,-0.039019408
cg16214653,-0.041795343
cg20336809,-0.04370781
cg16171105,-0.044755586
cg24810594,-0.045960731
cg08036553,-0.046757947
cg06580371,-0.047421898
cg23939865,-0.048831185
cg05061450,-0.04893654
cg21780326,-0.049102976
cg15798837,-0.052812897
cg27113091,-0.056763013
cg10551270,-0.056785162
cg06759629,-0.059693398
cg26657240,-0.063150358
cg04164190,-0.063260137
cg15376007,-0.070029274
cg19761640,-0.071286948
cg13455700,-0.074270791
cg08902683,-0.078530471
cg26102435,-0.078756479
cg16007541,-0.080954739
cg00689492,-0.083273137
cg06153927,-0.084244061
cg26685941,-0.085119648
cg02444300,-0.088394837
cg15471501,-0.092009966
cg08230059,-0.097846682
cg11176990,-0.102472195
cg26383138,-0.110847532
cg21033440,-0.117635104
cg08517131,-0.119408914
cg15234946,-0.122466046
cg10409131,-0.13077537
cg07219494,-0.132622305
cg06800849,-0.134032092
cg05904366,-0.140698358
cg12730088,-0.14128532
cg14381623,-0.141983413
cg05450916,-0.154274498
cg22325823,-0.158201139
cg04755771,-0.16259972
cg12700904,-0.16409676
cg04780909,-0.167324871
cg25823085,-0.175059109
cg09432234,-0.177430681
cg14109822,-0.191250409
cg13982366,-0.193290344
cg10271547,-0.201272181
cg05960502,-0.202677672
cg22242842,-0.208236222
cg23874606,-0.213115529
cg08284443,-0.214803056
cg14435720,-0.215385345
cg04915975,-0.219770088
cg04396791,-0.220222077
cg05715492,-0.22167189
cg08489623,-0.232907945
cg06500161,-0.258520635
cg14911690,-0.280089159
cg06688763,-0.281192156
cg01651915,-0.282380981
cg21785034,-0.289019615
cg06197571,-0.290579381
cg19507267,-0.292922055
cg25385819,-0.317711543
cg17061862,-0.318863753
cg14003621,-0.319382355
cg00473416,-0.366164058
cg05870739,-0.370465894
cg13591673,-0.371724194
cg07070138,-0.400658905
cg22896075,-0.448947426
cg04927341,-0.460392393
cg16707405,-0.503484628
cg06690548,-0.542065671
cg25115537,-0.558889972
cg11302515,-0.651852779
cg27075187,-0.661611473
cg17739046,-0.711356315
cg04614997,-0.901018323
cg09203880,-1.113405944
cg00701514,-1.115880707
cg15133301,-1.419787973
cg09848445,-1.880008419
cg00574958,-4.582820432
