CpGmarker,CoefficientTraining
cg00075967,0.12933661
cg00374717,0.005017857
cg00864867,1.59976405
cg00945507,0.056852418
cg01027739,0.102862854
cg01353448,0.238560451
cg01584473,0.088628396
cg01644850,0.159948713
cg01656216,0.042805528
cg01873645,-0.604056375
cg01968178,1.169245865
cg02085507,0.006127551
cg02154074,0.044757003
cg02217159,-0.086512604
cg02331561,0.126928853
cg02332492,0.062771342
cg02364642,-0.024270255
cg02388150,0.425971257
cg02479575,1.875446187
cg02489552,0.073741383
cg02580606,0.349274493
cg02654291,0.140583491
cg02827112,0.050646083
cg02972551,0.47394601
cg03103192,0.023536343
cg03167275,-0.551041258
cg03270204,0.013544725
cg03565323,-0.207653221
cg03588357,-0.858843002
cg03760483,0.014946399
cg04084157,1.034144196
cg04126866,0.079374551
cg04528819,0.771798107
cg04836038,0.440056203
cg05250458,0.087295559
cg05294243,0.11851793
cg05365729,0.052940133
cg05675373,0.346355946
cg05755779,0.060215102
cg05921699,0.018064958
cg05960024,0.081029885
cg06121469,0.027024582
cg06144905,0.597211279
cg06361108,0.43315799
cg06462291,0.015758987
cg06493994,1.858006164
cg06557358,-0.141331243
cg06738602,-0.151674548
cg06810647,0.374888117
cg06952310,0.091760658
cg06993413,1.503184415
cg07285276,0.192242573
cg07291563,0.041640015
cg07337598,0.088226928
cg07455279,0.005632264
cg07595943,0.051178068
cg08030082,0.012830322
cg08090772,-0.341458098
cg08124722,0.008484904
cg08251036,0.068634882
cg08370996,0.812907628
cg08413469,0.140510611
cg08434234,-0.211774018
cg08771731,0.103386824
cg08965235,-0.220130796
cg09019938,-0.12172174
cg09118625,0.307808351
cg09191327,-0.278393765
cg09418283,0.027502906
cg09509673,0.013745188
cg09785172,-0.016561072
cg09869858,0.066316642
cg09885951,0.095237498
cg10281002,0.468416918
cg10376763,-0.115358177
cg10377274,0.057139076
cg10486998,-0.389335841
cg10523019,0.514646778
cg10920957,-0.399903548
cg11932564,0.700001079
cg12351433,0.079279219
cg12373771,0.533301546
cg12768605,-0.188560769
cg12830694,0.339726781
cg12946225,0.133612754
cg13038560,0.261380978
cg13216057,-0.138857398
cg13319175,0.013848218
cg13460409,0.412023313
cg13682722,0.110100933
cg13836627,0.029983661000000002
cg13854874,0.049613334
cg13899108,0.033651673
cg13975369,0.378716214
cg14258236,0.086897539
cg14308452,0.003142044
cg14329157,0.251930765
cg14424579,3.067470269
cg14501253,-0.066922165
cg14658362,-0.168603536
cg14723032,9.00283e-4
cg14894144,0.053377439
cg14992253,0.035824163
cg15341340,-0.468757862
cg15381769,-0.119627233
cg15547534,0.382897521
cg15661409,0.043744933
cg15974053,-0.009486551
cg15988232,0.036324808
cg16150435,0.017495382
cg16241714,2.551903028
cg16494477,-0.066439934
cg16547529,0.167493846
cg16579101,-0.096067716
cg17063929,-0.001985558
cg17099569,0.115572976
cg17285325,0.137315506
cg17408647,-0.094843228
cg17655614,0.156624167
cg17729667,0.146830197
cg17853587,-0.022992725
cg17960516,0.066620539
cg18055007,0.037915414
cg18180783,0.121873904
cg18440048,0.356369685
cg18573383,0.554265536
cg18983672,0.201888482
cg18984151,0.315009523
cg19008809,0.590929745
cg19167673,-0.47038013
cg19273182,-0.754588838
cg19305227,0.019259662
cg19346193,0.149635977
cg19478743,0.122668557
cg19514928,-0.005027927
cg19692710,0.021362462
cg19945840,0.62850032
cg20295671,-0.028008213
cg20305610,-0.164360384
cg20524216,-0.389841338
cg20692569,0.744776072
cg20761322,0.116737935
cg20795863,0.094275521
cg20828084,0.14446198
cg20914508,-0.003601976
cg20947775,-0.216873362
cg20999813,-0.387628988
cg21096399,0.119679089
cg21378206,0.195972049
cg21460081,-0.150206847
cg21801378,0.205911023
cg21870884,0.135875207
cg22006386,0.027954025
cg22289837,-0.057604916
cg22432269,-0.047520857
cg22449114,0.009556913
cg22679120,0.008321411
cg22736354,1.718507337
cg22809047,0.160173786
cg22901840,0.078584998
cg22920873,0.114374788
cg23517605,0.128377865
cg23662675,0.600765489
cg23941599,0.266499641
cg24116886,0.187704497
cg24126851,7.92206e-4
cg24254120,0.372917726
cg24262469,0.152852459
cg24450312,-0.001508834
cg24580001,0.339639763
cg24834740,-0.087006506
cg25070637,-0.279922439
cg25148589,0.179969129
cg25505610,1.50223047
cg25552492,-0.176029721
cg25683012,-1.392021375
cg25771195,0.304478062
cg25781123,0.019974651
cg26003813,-0.192765894
cg26005082,0.283314043
cg26045434,-0.296285378
cg26297688,0.959651842
cg26372517,0.126025756
cg26453588,0.127052431
cg26620959,-0.040743067
cg26842024,0.358161798
cg26845300,0.254089345
cg27092035,-0.055768503
cg27169020,0.087286864
cg27319898,-0.211230721
cg27377450,0.092440884
cg27413543,-0.261275244
cg27494383,0.064596615
cg00091693,-0.002008493
cg00168942,-0.111945219
cg00431549,-0.136199957
cg00436603,2.65206e-4
cg01027805,-0.167672796
cg01234063,-0.040535924
cg01262913,-0.033581152
cg01407797,-0.379166543
cg01459453,-0.345952077
cg01485645,-0.025753328
cg01511567,-0.686111875
cg01560871,-0.036910708
cg01570885,-0.031258306
cg01820374,-0.271122363
cg02047577,-0.658400181
cg02071305,-0.048429497
cg02275294,-0.337498333
cg02335441,-0.17128537
cg03019000,-0.459777041
cg03286783,-0.854784621
cg03330058,-0.064471129
cg03578041,-0.032630972
cg03682823,-0.112677232
cg03891319,-0.026893522
cg03947362,-0.301555266
cg04005032,-0.144763726
cg04094160,-0.201195165
cg04121983,0.054920672
cg04268405,-0.416694314
cg04431054,-0.05992505
cg04452713,-0.001478366
cg04474832,-0.444042106
cg04999691,-0.001756899
cg05442902,-0.578208568
cg05590257,-0.031153885
cg05847778,-0.058704445
cg05903609,-0.158648055
cg06044899,-0.142865007
cg06117855,-0.007113851
cg06513075,0.130551876
cg06688848,-0.016307574
cg06836772,-0.238015601
cg06926735,0.001010208
cg07158339,-0.626329239
cg07388493,-0.520727113
cg07408456,-0.218776385
cg07498421,-0.059490426
cg07663789,-0.074789714
cg07730301,-0.01177889
cg07770222,0.009940405
cg07849904,-0.116542884
cg08186124,-0.070505215
cg08331960,-0.42705014
cg09133026,-0.196543481
cg09441152,-0.683075851
cg09646392,-4.17407e-4
cg09722397,-0.147296004
cg09722555,-0.346465927
cg09809672,-0.391318905
cg10045881,-0.046803147
cg10266490,-0.014675
cg10345936,0.069971286
cg10865119,-0.069157921
cg10940099,0.093135749
cg11025793,-0.012053497
cg11299964,-0.157897406
cg11314684,-0.076158602
cg11388238,-0.35058529
cg11653266,-0.176347192
cg12413566,-0.045644385
cg12616277,-0.002979815
cg12941369,-0.131067992
cg12985418,-0.431303727
cg13129046,-0.205992326
cg13269407,-0.091238949
cg13302154,-0.003525343
cg13547237,-0.201508653
cg13828047,-0.448971744
cg13931228,-0.12067687
cg14060828,-0.303565965
cg14163776,-0.119511769
cg14175438,-0.336713957
cg14408969,-0.140373287
cg14409958,-0.050383781
cg14423778,-0.087120888
cg14597908,-0.030798249
cg14654875,-0.122182935
cg14727952,-0.136027886
cg15185286,-0.241642003
cg15262928,-0.078482669
cg15703512,-0.730702811
cg15804973,-0.108169109
cg16034652,0.006495541
cg16168311,-0.196860712
cg16358826,-0.012966376
cg16408394,-1.719195146
cg16419345,0.282563693
cg16744741,-0.3462842
cg16899442,-0.153803786
cg16984944,-5.94e-6
cg17274064,-1.57189e-4
cg17324128,-0.569717328
cg17338403,-0.645058713
cg17589341,-0.065957735
cg17686885,-0.057992142000000003
cg18031008,0.264553633
cg18139769,-0.089986969
cg18328933,-0.37048069
cg18956095,-0.478583455
cg19044674,-0.055931441
cg19046959,-0.069773889
cg19420968,0.098912421
cg19569684,-0.28609508299999997
cg19706682,-0.103539266
cg19722847,-0.452037396
cg19724470,-0.104549906
cg19761273,-0.88692879
cg19853760,-0.241884461
cg20100381,-0.120248941
cg20240860,-0.052478619
cg21211748,-0.166397828
cg21305265,-0.045368222
cg21370143,-0.054401836
cg21395782,-0.123872644
cg21950518,-0.002510616
cg22171829,-0.133887348
cg22190114,0.122000415
cg22197830,-0.214854921
cg22568540,0.020951084
cg22613010,-0.00136474
cg22637507,-0.161364515
cg22947000,-0.385598354
cg23092072,0.999917662
cg23124451,-0.118914538
cg23180365,-0.17318824
cg23786576,-0.359681997
cg24058132,-0.243414212
cg24081819,-0.00950238
cg24471894,-0.057512039
cg24888049,-0.129936396
cg24899750,-0.307424926
cg25101936,-0.057744615
cg25159610,0.224446911
cg25166896,-0.002315093
cg25411725,-0.028135965
cg25564800,-0.004461622
cg25657834,-0.120291759
cg25809905,-0.216624999
cg25928579,-0.030298685
cg26043391,-0.361822974
cg26162695,-0.043863368
cg26394940,-0.166268862
cg26456957,-0.159361013
cg26614073,-0.506521375
cg26723847,-0.144822054
cg26824091,0.549029142
cg27015931,-0.466528425
cg27016307,-0.035326263
cg27202708,-0.138635766
cg27544190,-0.869124446
