CpGmarker,CoefficientTraining
cg06807993,3.125316988
cg13244241,2.300844165
cg12047012,1.972651719
cg11902777,1.720637374
cg07063853,1.676041246
cg13213923,1.636930633
cg10953131,1.330149086
cg09991298,1.209371064
cg17519650,1.190836736
cg22750243,1.147843286
cg07384165,1.073359725
cg23475278,0.982680177
cg16699331,0.961870034
cg21871465,0.898302493
cg16697775,0.888346662
cg26960896,0.836303205
cg05124614,0.830137597
cg01145653,0.81208601
cg13808420,0.798901803
cg01962969,0.75014148
cg00871215,0.747948886
cg09969830,0.735051145
cg05575921,0.698390412
cg21566642,0.61713154
cg01904410,0.613623966
cg23244761,0.594767398
cg11977139,0.497054185
cg09188212,0.455059978
cg00459953,0.453324028
cg13042926,0.440925041
cg01121127,0.418184601
cg02537382,0.402943909
cg00552387,0.397958622
cg15344919,0.391258913
cg11336053,0.389200385
cg12950753,0.373418764
cg21048542,0.361344807
cg01062068,0.34327034
cg26224173,0.317479853
cg25630794,0.31717915
cg20270172,0.315887085
cg15782153,0.309691733
cg08992360,0.298370605
cg08564661,0.281952685
cg23237314,0.274848227
cg26554646,0.273207125
cg04360080,0.273157088
cg24495257,0.272594164
cg21929464,0.267698941
cg02491905,0.252792751
cg14179389,0.244479672
cg15712057,0.244400113
cg18554736,0.23721137
cg24717024,0.236492269
cg24838345,0.230048619
cg09387486,0.229093992
cg06189175,0.223033052
cg16212298,0.214026853
cg18955367,0.213313146
cg21977234,0.210343212
cg27081346,0.206862351
cg19394169,0.206147334
cg06644428,0.19397584
cg00871381,0.193949915
cg23361275,0.175835677
cg05241355,0.171240939
cg09830455,0.156956133
cg19021328,0.154862807
cg00340052,0.147219628
cg24960291,0.143996115
cg21345949,0.140278071
cg07148896,0.136996683
cg08360281,0.130872861
cg05670004,0.128495042
cg04563195,0.125411273
cg10497884,0.117178651
cg25672142,0.113753467
cg02399249,0.110866979
cg02113429,0.108181343
cg05000275,0.10681689
cg10583382,0.106814525
cg23111338,0.103450288
cg04788957,0.099840059
cg08206881,0.091595513
cg06921011,0.090689235
cg03533294,0.089557822
cg22935921,0.088579152
cg23539034,0.088462228
cg05913257,0.086552669
cg09414983,0.084875906
cg13636952,0.084839325
cg08548559,0.07972576
cg09219402,0.078551341
cg18537071,0.077593979
cg10144400,0.075562724
cg16789230,0.068337649
cg24592370,0.068031578
cg14140673,0.068001111
cg14466863,0.067883065
cg03287936,0.067408731
cg19706803,0.066584465
cg08112740,0.066440944
cg03534375,0.066234146
cg14106680,0.065899518
cg05176716,0.064794297
cg23083277,0.064482717
cg21929183,0.064250962
cg18187198,0.063063424
cg18558073,0.059709385
cg13110283,0.057555687
cg26224354,0.057518682
cg00074818,0.056303831
cg07313589,0.055794619
cg02085507,0.055376047
cg06044756,0.054368403
cg23276120,0.053112631
cg26889659,0.052475197
cg26175789,0.051458166
cg00640053,0.049813556
cg11065385,0.049346631
cg26962439,0.048471569
cg25666233,0.04844272
cg05868942,0.047300317
cg23371584,0.046803822
cg06679334,0.040017547
cg14741691,0.03948668
cg04491321,0.037350284
cg01079860,0.033422571
cg17628894,0.032419775
cg10797920,0.029941614
cg10023862,0.028543376
cg25553466,0.028367456
cg19265998,0.025250749
cg01628905,0.023830193
cg23328404,0.023766599
cg15731053,0.02361595
cg17526301,0.021205887
cg25625370,0.020178573
cg01550828,0.01937395
cg05157625,0.018512987
cg19721055,0.017877647
cg15825916,0.017578067
cg07910460,0.016703994
cg03979510,0.01649399
cg09152853,0.015462868
cg21871883,0.014769553
