CpGmarker,CoefficientTraining
cg00056066,0.01974736
cg00057476,0.78281227900000006
cg00073090,-0.14498105
cg00083059,-0.149133485
cg00091483,0.939841487
cg00108098,0.105542628
cg00112465,-0.080623677
cg00173659,-0.536878343
cg00173799,0.014656666
cg00253398,-0.261466517
cg00307685,0.133774014
cg00378510,0.203348021
cg00400547,0.850095834
cg00419702,-0.046808806
cg00423969,0.201820368
cg00451105,-0.235564174
cg00466827,0.169153008
cg00521434,2.171649473
cg00530564,1.052555164
cg00604454,0.197266727
cg00639010,-2.901245499
cg00705661,-2.702840998
cg00896578,-0.347994082
cg00898013,0.150787075
cg00971110,0.084752683
cg01075918,-0.925987919
cg01079860,0.037680375
cg01152073,-5.4948629
cg01164202,4.35573e-4
cg01233392,0.851614486
cg01307115,0.696522065
cg01333011,-0.211972195
cg01342746,0.403844569
cg01397912,-0.236292649
cg01448132,-0.580180851
cg01682784,-0.30061438
cg01691182,-0.063266812
cg01709677,1.628083946
cg01718116,0.050773104
cg01735082,0.302553135
cg01748414,0.070627113
cg01768926,-0.177730454
cg01824511,0.287744466
cg01904393,2.920682872
cg01979888,0.565162504
cg02012338,-0.237253802
cg02098565,-0.011841488
cg02168857,0.399350869
cg02248037,0.235269391
cg02252421,-0.188367323
cg02266500,-0.337335862
cg02288791,0.084157618
cg02292263,0.570976762
cg02357404,0.385932488
cg02360514,0.816380563
cg02366228,-0.36220177
cg02376097,0.84211002
cg02388882,0.559307297
cg02399044,-0.882174207
cg02399571,0.400232198
cg02463440,-0.009244948
cg02481256,0.195462279
cg02492818,-0.249527624
cg02657611,0.750553909
cg02690256,-0.141556164
cg02737268,-0.657602923
cg02789362,0.112908648
cg02795629,0.30652255
cg02819828,-0.028160109
cg02955631,-0.027201559
cg02957094,0.11204365
cg03022050,0.342693355
cg03079497,-0.463788367
cg03117976,0.300222865
cg03120116,-0.079804298
cg03141090,-0.239110143
cg03361973,-0.601809894
cg03441945,0.346774816
cg03477252,-0.308313477
cg03543893,-0.168306625
cg03578464,-0.57650804
cg03603214,-0.353922628
cg03607359,-0.001995387
cg03634778,-0.127149964
cg03655174,-0.577256538
cg03730703,0.523784135
cg03732020,-0.306353737
cg03778669,0.381354885
cg03789420,-0.542135311
cg03867465,0.087866223
cg03930369,-0.130170989
cg03965044,-10.76500802
cg03974689,1.40544579
cg03979241,0.906457154
cg03989020,-0.331676733
cg04006042,1.80955555
cg04012797,-0.040209879
cg04035553,-0.126294217
cg04046945,0.188700237
cg04149585,0.385202777
cg04154825,-0.205642627
cg04191989,-0.082870391
cg04271289,-0.240341059
cg04387835,0.009182274
cg04390523,-3.274752586
cg04448141,-0.092484216
cg04452040,0.113915279
cg04489548,0.284688537
cg04498198,0.025440697
cg04507915,0.113353292
cg04689080,-2.118702893
cg04793989,-0.040747239
cg04912999,-0.370756915
cg05003175,-0.045980295
cg05022378,-0.018722499
cg05084827,-0.274901586
cg05097579,0.057900337
cg05098880,0.091414789
cg05128194,-0.19770178
cg05169312,0.273192487
cg05199503,-0.022169462
cg05200057,0.438462305
cg05283184,0.297595434
cg05304393,0.228743995
cg05308656,0.378449348
cg05321252,0.416991321
cg05355436,-0.283650059
cg05393023,0.010083148
cg05498905,-0.055977251
cg05689413,-0.746337416
cg05740575,-0.161331452
cg05761882,-0.001328194
cg05875982,1.356864885
cg05898881,-0.11956479
cg06013117,0.406038368
cg06095093,1.473974845
cg06171787,0.022090927
cg06191390,0.152695396
cg06285648,-1.3430899059999999
cg06300141,0.259689026
cg06327515,0.165313436
cg06447795,-1.243519154
cg06566039,0.145491976
cg06636938,-0.355329741
cg06638529,0.056173701
cg06653796,-0.53348857
cg06735598,-0.168776243
cg06747745,-3.359786774
cg06784691,1.679856877
cg06799979,0.62164500600000006
cg06847828,0.093767544
cg06848775,0.984053124
cg06903010,-0.011688894
cg06911238,-0.008751977
cg06960461,0.365829559
cg06974871,0.463017506
cg07025505,-0.565966334
cg07056242,-0.6483735
cg07083023,0.292081124
cg07127762,-0.045774328
cg07152001,0.204443836
cg07176589,-0.30495807
cg07180988,-0.056572569
cg07191594,1.297421696
cg07315234,0.002839742
cg07550331,-0.02699086
cg07571202,-0.057329477
cg07591186,0.395163001
cg07756635,0.020756504
cg07760794,0.341347784
cg07847030,0.154857902
cg07991112,0.016032325
cg08006309,-1.621534452
cg08016257,-2.528841655
cg08016383,0.079734645
cg08126798,-0.002511359
cg08235984,0.012476723
cg08269911,0.321769418
cg08276042,-0.04541659
cg08289409,0.323769753
cg08367801,0.166025457
cg08369368,0.276965528
cg08486180,0.100642269
cg08569850,-0.241881454
cg08680528,0.564550656
cg08718490,0.001846316
cg08787268,0.276372662
cg08804892,0.582681414
cg08811314,0.980767163
cg08881019,-0.050022413
cg08885224,0.059276853
cg08920210,0.410630547
cg08942342,0.018460221
cg08954353,0.404922845
cg08957484,0.014733963
cg08978665,-0.006857662
cg08988364,0.016733307
cg09015905,-0.440784966
cg09079580,0.40621803
cg09180564,-0.137895388
cg09267815,-0.007377133
cg09294095,-0.11663744
cg09338032,0.09799591
cg09364122,-1.619141512
cg09530108,-0.58377322
cg09532898,0.538423744
cg09618893,-0.237035779
cg09679939,-0.024448358
cg09704168,-0.750682287
cg09894284,-0.427334998
cg09936400,-0.419651938
cg10000096,0.629056073
cg10022966,-0.148589537
cg10033475,0.013132226
cg10124440,0.48966802
cg10150962,-7.94401e-4
cg10241183,-0.579765599
cg10341154,-0.49111482
cg10419556,-0.077326226
cg10432569,-0.387417059
cg10477905,-0.024681784
cg10605064,-0.07149096
cg10608230,-0.628657783
cg10655499,0.213142355
cg10715223,-1.76659582
cg10737521,-0.089591057
cg10750182,-0.928977648
cg10761804,1.453081368
cg10802414,0.295939551
cg10812708,0.047945015
cg10830713,0.852090271
cg10835286,0.668591915
cg10835651,-0.518088808
cg10991599,0.247123231
cg11070260,0.114182871
cg11144229,0.18481315
cg11228758,0.193515401
cg11284797,-0.058523948
cg11387705,-0.120473864
cg11410882,0.029543155
cg11421724,0.497515977
cg11444704,1.073297401
cg11516031,0.195123312
cg11547667,-0.007951506
cg11569478,-1.271674404
cg11710211,-0.223041231
cg11798873,-0.605324462
cg11841722,-1.835320946
cg11847543,0.115492614
cg11861562,0.072587966
cg11908202,0.060147621
cg11929154,1.075024157
cg11953334,-0.151346812
cg11977686,0.157127459
cg11999255,0.009442863
cg12013591,0.895310167
cg12016792,-0.018851398
