CpGmarker,CoefficientTraining
cg15611364,63.12415047
cg17605084,-44.00939313
cg26382071,40.42085373
cg12743894,36.7881845
cg19287114,-36.49384395
cg12985418,-35.90008808
cg19398783,35.83308293
cg15963417,-34.69842764
cg27187881,-33.54555855
cg09892203,-33.4823461
cg00943950,33.47697933
cg18996776,33.05057141
cg16340918,32.14665692
cg23832061,-31.90246973
cg22736354,31.84219355
cg04084157,31.62165709
cg07265300,28.3980076
cg02503970,25.58514041
cg11426590,-24.78579343
cg23710218,24.15870289
cg02802055,-24.11715679
cg13631913,23.83805501
cg06493994,23.37207957
cg24304712,23.3003573
cg01131735,-22.91466682
cg24208206,22.54068526
cg01930621,-21.78792705
cg19104072,-21.59866911
cg07850604,21.31021579
cg27493997,-21.2007229
cg14281160,21.11147672
cg12247247,-20.75342001
cg08331960,-20.70742942
cg17726022,20.18800473
cg19722847,-20.14577056
cg21801378,19.61967861
cg03977782,19.45230678
cg03929796,-19.41008226
cg01254459,19.18438139
cg09548179,-19.0323049
cg09556292,-18.61940178
cg17896249,18.0100431
cg26091688,-17.94903039
cg17009433,17.3157834
cg06690548,-17.31209095
cg26815229,-17.14738745
cg15447479,17.06265852
cg27015931,-16.80473407
cg13550877,-16.79028681
cg05492270,-16.73113119
cg22594309,16.6352922
cg08896629,-16.3038063
cg11237115,-16.243299
cg04736140,-16.11768623
cg06533629,16.05623965
cg25881193,-15.99899499
cg03535648,-15.95141109
cg27367952,-15.82375956
cg11600161,-15.57182248
cg19345165,-15.25553584
cg15881088,-15.21848681
cg21296230,15.06457901
cg14175438,-14.9517935
cg13409216,-14.48609953
cg04424621,-14.44777739
cg01137065,14.37377079
cg13656360,14.36406636
cg05316065,-14.22870517
cg13509147,14.22126208
cg13449372,-14.12054745
cg10654016,13.83949625
cg18693704,-13.80959079
cg13218906,-13.68132768
cg25428451,-13.6572112
cg00462994,13.58737822
cg03340261,13.57369508
cg00261781,13.39937728
cg13514050,-13.34104874
cg20066677,13.32700255
cg18267374,13.32614877
cg24407308,-12.95513488
cg10636246,-12.95489
cg15569512,-12.95093372
cg07817698,12.90897644
cg16854606,12.74522356
cg12265604,12.6784476
cg14689355,-12.59980654
cg01651821,12.43450304
cg14159818,-12.18111487
cg20162159,-12.17957599
cg00230271,-12.15471329
cg19008809,12.12001927
cg09809672,-12.09921682
cg13994175,12.07884157
cg03172991,-11.96946328
cg00194146,-11.88629118
cg10225525,11.81083061
cg08487374,11.67344393
cg01450842,-11.65425604
cg18117393,11.53232389
cg08067365,-11.51984975
cg17038116,-11.16561286
cg26665419,-11.15430006
cg20173259,11.11358119
cg08899632,11.08380298
cg04528819,11.07259285
cg11177450,-10.94667271
cg06908778,10.86511161
cg25092328,10.80113727
cg10922280,10.79008118
cg04836038,10.65458827
cg02229946,10.5122237
cg12269343,10.4580988
cg05294243,10.43369407
cg01211097,-10.27522152
cg08529529,-10.22704896
cg10158181,-10.1880066
cg26357744,-10.00204065
cg27655905,9.950424372
cg06189653,-9.928634297
cg17641104,-9.926053105
cg22495124,9.772363822
cg17129388,9.679594816
cg19556572,9.567877534
cg25136687,-9.522144355
cg15344028,-9.504209291
cg05270634,9.458683059
cg26866325,9.372871086
cg25256723,-9.36844987
cg03112869,9.309963576
cg07929310,-9.267771972
cg16085042,-9.058118831
cg05759269,-9.047212407
cg14754581,8.9044998
cg01221637,-8.838557811
cg12261786,-8.80006302
cg17133388,-8.786659598
cg13120519,-8.761639169
cg01441777,-8.741688217
cg11233384,-8.702162118
cg22971191,8.613889336
cg00845900,-8.58936172
cg04007936,-8.441092863
cg26212924,-8.269454924
cg13042288,-8.160794723
cg14473016,-8.146118724
cg02976574,8.057451538
cg05851163,-8.056495421
cg17526300,8.038276564
cg16173067,8.01275733
cg15811427,-8.009320965
cg14916213,7.981658933
cg04014889,-7.924579894
cg22947000,-7.872570922
cg25769980,-7.808838536
cg02228185,-7.785341156
cg03565081,7.763007186
cg15966757,-7.746394111
cg09480837,-7.741831686
cg13564075,-7.65214571
cg03991512,-7.60434303
cg20761322,7.473261917
cg23376526,-7.470945638
cg02631957,-7.435453213
cg16933388,7.416346316
cg21099326,-7.319261619
cg26096837,7.269147318
cg26394737,7.25927706
cg01519742,7.247589771
cg02016419,7.246984432
cg07654934,-7.183441358
cg24125648,7.120190402
cg14747225,7.024834167
cg18003795,-6.99391822
cg05087948,-6.991225132
cg02151301,-6.962548699
cg05532892,6.729463914
cg08035942,-6.589880588
cg07484827,6.581498688
cg17749443,6.468578944
cg11631518,6.461478745
cg22396353,6.4288385
cg14223995,-6.409663736
cg22582569,6.352315
cg08169325,-6.322778588
cg22512531,6.279600362
cg21207418,6.268763011
cg02154074,6.199036211
cg17940013,-6.195165774
cg16648841,6.097618377
cg03724882,6.080591714
cg16313343,6.023874287
cg21137706,-5.983252062
cg10523019,5.941622921
cg25459323,-5.900533275
cg20967028,5.85130181
cg23124451,-5.804862482
