CpGmarker,CoefficientTraining
cg00027162,1.667852688
cg00048759,5.419585224
cg00200653,-0.269769989
cg00347863,4.103872112
cg00505045,12.00664357
cg00563845,-0.545090002
cg00603274,0.146882905
cg00614360,1.188062001
cg00655552,-0.965871251
cg00663739,3.548378441
cg00715290,-10.21918942
cg00879155,0.613016916
cg00910168,-1.193485632
cg00962755,1.063015497
cg01035616,1.81673898
cg01048752,-1.146410181
cg01105058,5.10947032
cg01274524,0.296824333
cg01321673,0.840887918
cg01329511,3.698647434
cg01334432,-1.898300091
cg01399860,-0.386091692
cg01421252,-0.898196565
cg01454752,5.881425086
cg01503516,1.83103817
cg01538166,-4.833215107
cg01557754,-4.612349952
cg01579218,-2.40218331
cg01597480,-2.806132212
cg01762785,0.2491522
cg01791648,-5.133164383
cg01835620,-4.722779615
cg01902704,0.308912808
cg01971089,-5.740614648
cg01988129,-0.266088657
cg02059055,6.140379062
cg02088403,-0.30116434
cg02153490,-0.092145469
cg02161761,2.866283727
cg02204442,-1.38157789
cg02225085,2.258071933
cg02232751,4.209145798
cg02254885,-14.12770141
cg02256105,-0.020307003
cg02306162,-0.049993607
cg02339392,-0.815585445
cg02361878,6.178924374
cg02462416,1.286350491
cg02462487,-2.735298147
cg02493740,-1.607931612
cg02501978,-1.513038945
cg02722637,0.465877855
cg02729030,-5.215300465
cg02763536,0.612000378
cg02767634,1.973737929
cg02867102,-10.42858436
cg02870946,-1.230355421
cg02942825,-2.797930608
cg02965178,2.523845567
cg03046819,-7.308477343
cg03092551,-0.167060242
cg03155027,-0.008093435
cg03164928,-3.595780255
cg03167948,-0.18448172
cg03203114,-1.248816548
cg03227963,-0.094326252
cg03277049,5.124817996
cg03283486,0.203340652
cg03438101,2.000937302
cg03446427,-0.327927939
cg03520471,-1.506224009
cg03552151,-2.401213829
cg03573179,-2.774635815
cg03588998,-0.480741725
cg03604424,5.438334319
cg03664992,31.8703656
cg03823084,-3.17432926
cg03834467,-0.98606355
cg03839949,-10.26573503
cg03844971,-1.566328548
cg03848890,-1.90661974
cg03869874,4.169176658
cg03883502,10.59117967
cg03887528,-0.373355533
cg03950166,-1.558685034
cg03982897,-0.469309552
cg03986400,-1.213996398
cg04088674,-0.794608359
