CpGmarker,center,scale
cg00000292,0.7598633952352156,0.1854086915375697
cg00002426,0.7863788078967272,0.4250682567450579
cg00003994,0.0632442232192452,0.0397111244297307
cg00007981,0.0299434180293867,0.027811877751582
cg00008493,0.9363471225552752,0.0646618412879564
cg00008713,0.0505494489916882,0.0351368435028606
cg00009407,0.0351571456459043,0.0225278058560705
cg00011459,0.911413273333186,0.0465860269247204
cg00012199,0.0370640576652861,0.0196228426951836
cg00012386,0.0391703082804759,0.020654966210983
cg00013618,0.8662362640002919,0.0567080493994752
cg00014085,0.0398500182356545,0.0161488200721175
cg00014837,0.8830660197965049,0.0753027529755024
cg00015770,0.1362247402342624,0.0659610732613216
cg00021527,0.031471163131241,0.0148479225223515
cg00022866,0.5250693570094828,0.2507386072499019
cg00024396,0.0650823734637504,0.0306941854481536
cg00024812,0.0333635166199972,0.0201505264654835
cg00025991,0.5172770218941211,0.217984950688266
cg00027083,0.0417159535936317,0.0893827532185868
cg00027674,0.1269479032174123,0.0988853958928788
cg00029826,0.0684897926232853,0.1004944493683458
cg00031162,0.6575212752055207,0.215024282883016
cg00032227,0.0180338927515282,0.0155226378009451
cg00033773,0.8571364825346901,0.1154533785234904
cg00034039,0.0777726822146216,0.0300767565906853
cg00035347,0.5608431719544261,0.1459814766483212
cg00035623,0.0666026199688347,0.0503077228951876
cg00037763,0.8773837314164301,0.0722701874414338
cg00037940,0.907146710346446,0.0508279853447033
cg00040861,0.0369597049555132,0.0162155106902742
cg00040873,0.1560824422807945,0.0886050802973059
cg00043004,0.1216415159737477,0.1005803683661553
cg00043080,0.9003180151358343,0.0414025182540551
cg00044245,0.0916685030909573,0.0533018098339798
cg00047050,0.100434894486331,0.0568839772661003
cg00047469,0.0635737986918208,0.0458435335717309
cg00050312,0.0423270162684925,0.0291618007889897
cg00051979,0.081380503734703,0.0333787319114688
cg00054706,0.0374117196569345,0.0148359597087739
cg00056767,0.0517505590106969,0.0210849162859107
cg00057593,0.7642967857534598,0.1117727167766815
cg00058938,0.3634733029473257,0.1030728075898285
cg00059424,0.0337013684537918,0.0179791424709577
cg00059930,0.6236772934885233,0.2414454355458944
cg00060762,0.0321301672960674,0.0147861036240576
cg00062776,0.9495765587608452,0.0514539565881854
cg00063144,0.8951346767160637,0.06117936988032
cg00065385,0.9424311544303176,0.0296043598142616
cg00065408,0.0551743220140649,0.0268508918158364
cg00066816,0.3064718697815828,0.1067308587585229
cg00067471,0.1659446716637408,0.0789309872347447
cg00069261,0.0625579502861728,0.021806242336289
cg00072216,0.0221299657127805,0.0230327998419177
cg00075967,0.7424672331809611,0.1657405367726557
cg00076645,0.0458429188943317,0.027754854604981
cg00077877,0.7625759528723339,0.1759249318341441
cg00078194,0.0452670564674666,0.0311858406987132
cg00079056,0.8636355755780822,0.0654729883686898
cg00079563,0.022067070466593,0.017459147701226
cg00080012,0.0240319349716478,0.0101305878893801
cg00081935,0.062025032818585,0.0391538392813876
cg00083937,0.5642234556796943,0.1941981931099779
cg00084687,0.0220359273332904,0.0177574139452722
cg00091693,0.7140541829390697,0.0973844263827237
cg00094851,0.071469926628327,0.0301677915686308
cg00095526,0.7111253880200581,0.1412722966946513
cg00096922,0.0913237731922257,0.0898051388123577
cg00097536,0.0628971971538139,0.0440194152314338
cg00098162,0.7929712665895138,0.0841734828129286
cg00103783,0.0219634397864761,0.0095079371320983
cg00105253,0.0954292776715245,0.0598407929717116
cg00105470,0.0219712576825935,0.0384405357030972
cg00107187,0.1266087149937723,0.0735427162981412
cg00107488,0.2197333288291734,0.1698293628134564
cg00107632,0.0566591928369101,0.039050878082346
cg00108454,0.5005590122004984,0.0988576867946843
cg00112517,0.1093953433943435,0.055173967854685
cg00113951,0.0908344055627516,0.0900019898214261
cg00116234,0.0682734311527245,0.0450495392245443
cg00116838,0.0873620666660982,0.0646185283562956
cg00117172,0.0386960199138433,0.0526804427407858
cg00119079,0.0601955148339985,0.0215503423531249
cg00121158,0.0340212805702674,0.0150640152540136
cg00121640,0.0492826432752954,0.0337228007130819
cg00123035,0.064502701578531,0.026007401500201
cg00126034,0.0453447131368096,0.0235745937093513
cg00128560,0.9261908250533246,0.0512381421411077
cg00128654,0.0626852275000355,0.0495643979516975
cg00128877,0.0912124601381937,0.0453000612090213
cg00129774,0.0395767908731813,0.0234786953456678
cg00131557,0.9035203567899076,0.0654564112423282
cg00132141,0.7174098820300199,0.2009142203320965
cg00133909,0.0606199357330941,0.0383561173529163
cg00134787,0.8544478625957459,0.1015347526991813
cg00135056,0.1170991198715462,0.0683255212619747
cg00136105,0.0321025876557997,0.0164437624500609
cg00136477,0.6713267090821677,0.2090232565157267
cg00136736,0.0373436230963313,0.0248304969943136
cg00138126,0.6231343037771864,0.1375012150088304
cg00141162,0.0881326987361325,0.5190312387629413
cg00143376,0.4476106724481165,0.1223541950394563
cg00146096,0.0190791936912428,0.0257456262387042
cg00149659,0.0411773689590419,0.021382778999566
cg00149976,0.0474051305170572,0.0242628653595759
cg00151607,0.018739824506856,0.0165645126800492
cg00155167,0.073002354319184,0.0587027988206348
cg00155485,0.0325429241360747,0.05107413508167
cg00155609,0.0519396241093556,0.0255883431845327
cg00156216,0.0241806206789791,0.0283136162730083
cg00156744,0.0384235836534394,0.024724732361992
cg00158308,0.0838269072701614,0.0545886990866674
