CpGmarker,CoefficientTraining
cg05528516,-0.034901855
cg00060374,0.192655019
cg12711627,0.17826976
cg06853416,0.054883728
cg01901101,-0.288137237
cg21393163,0.231306656
cg22866430,-0.132384046
cg16047567,0.278311431
cg18768612,0.031688925
cg24049493,-0.148032709
cg08893087,0.16454508
cg03984502,-1.59035965
cg19233405,-0.236127545
cg05694771,-0.119073797
cg24739596,-0.064898346
cg06370057,-0.04797553
cg24457743,0.045013485
cg18148156,-0.337015055
cg19935065,-0.071926092
cg10549018,-0.107791862
cg24903144,-0.028722836
cg17782974,-0.248277331
cg13357922,0.115933839
cg23908305,0.199508322
cg15742496,0.065473251
cg27639942,-0.031409117
cg27312916,-0.306782799
cg02121547,0.053266493
cg26827653,0.065894621
cg16593899,0.352200475
cg02319782,0.646594461
cg26276120,0.230153569
cg12745325,0.019250065
cg07677157,0.023635935
cg07910460,-0.006544998
cg01614102,-9.24423e-4
cg20742385,3.5546e-4
cg05019423,0.062087856
cg19825410,0.040421496
cg02963381,-0.082356157
cg00843787,-0.101382712
cg08107689,-0.077604432
cg04875128,-0.102338122
cg26709300,-0.25019136
cg27093918,0.085072969
cg02282640,0.088325197
cg02380595,0.002251867
cg04658841,-0.144127861
cg07955474,0.045460084
cg07708487,0.11330694
cg00974523,0.014607351
cg15825321,-0.015154869
cg14244013,-0.067053666
cg25583580,0.250882756
cg18826274,0.027587276
cg18836174,0.300338691
cg06994022,0.029972082
cg19283806,0.115234716
cg23686403,0.433578298
cg02194396,0.051844908
cg07069844,-0.222902807
cg00593900,-0.089080856
cg13523818,0.019683715
cg26950531,-0.0719754
cg06673536,-0.038695721
cg19327213,-0.261518786
cg26636010,-0.010265628
cg10550416,-0.001197075
cg01603921,-0.019119883
cg23631636,1.064943779
cg07374224,-0.10476299
cg06139893,0.366267555
cg09374293,0.271147479
cg21461082,0.086127595
cg01239389,-0.046039735
cg06845706,-0.073653151
cg15223899,-0.079469327
cg00733150,-0.143118993
cg18405719,0.132495641
cg04508804,-0.016391905
cg00840990,0.009294864
cg09217898,0.002223767
cg05023043,-0.241884868
cg19651128,-0.044197345
cg02810967,0.115541991
cg09435170,0.066574831
cg00580497,0.294599512
cg00461022,-0.003533648
cg22657457,0.01814921
cg10616795,0.014059609
cg06677021,-0.027823225
cg02403883,-0.026123646
cg21777188,-0.130912718
cg03335262,-0.043993312
cg27582059,-0.013379877
cg08985570,-0.017445457
cg27577149,-0.109795266
cg13650304,-0.004499116
cg19247475,-0.019510428
cg10679597,-0.001019321
cg18104870,-0.011461995000000001
cg16867657,-0.941317314
cg22328256,-0.058877191
cg17636541,0.29341411
cg01517384,0.013409557
cg27014438,0.064188813
cg07739478,0.044252249
cg08453194,0.671436338
cg21288889,-0.319350788
cg17885226,-0.029780431
cg06638568,-0.141896231
cg20978460,0.626194012
cg03366574,-9.93911e-4
cg10536999,0.743224139
cg08972170,-0.382784284
cg06132400,0.048164493
cg07076816,0.002240316
cg00739278,0.061894685
cg10691866,0.022168749
cg00277397,0.094974543
cg14989226,0.252745566
cg09596818,-0.038324257
cg22633390,-0.081187424
cg03473532,0.016080107
cg00029246,0.086897289
cg22530232,-0.058299901
cg12133423,-0.060805944
cg16479633,-0.349054784
cg18898125,-0.128861858
cg16886403,0.249830764
cg07211259,0.285415902
cg14577706,0.056402531
cg00232500,0.090935902
cg05072215,0.005543992
cg13753488,0.017145442
cg13764516,-0.341564801
cg07096038,-0.09855373
cg16203368,-0.10302433
cg00780578,-0.054471821
cg16708895,-0.127513973
intercept,-7.924780053
