CpGmarker,CoefficientTraining
cg00009871,-0.818616197
cg00056066,0.167224428
cg00057476,0.349374104
cg00063979,-1.067895523
cg00073090,-0.869781019
cg00091483,0.435366852
cg00192031,0.578291137
cg00239899,-0.015465747
cg00307685,-0.744881912
cg00398130,0.014211648
cg00400547,0.883495312
cg00501482,-0.117397178
cg00521434,3.436294138
cg00639010,-1.566600997
cg00674365,1.034186667
cg00675037,-0.72140753
cg00705661,-1.781051455
cg00721170,0.257589447
cg00766497,0.892964526
cg00896578,-0.085779139
cg01075918,-1.310650345
cg01093285,0.321235997
cg01118711,1.078424983
cg01152073,-0.429123245
cg01233392,1.543554751
cg01272599,0.474702067
cg01284448,-0.068395
cg01376763,0.271918727
cg01508380,3.976688134
cg01509843,0.350969353
cg01516372,0.580103821
cg01542644,-4.019832166
cg01550716,0.877442387
cg01825213,-0.064946293
cg01904393,5.037356282
cg01960128,-0.397769779
cg02012338,-1.456467635
cg02020969,0.148359733
cg02057688,0.704059184
cg02292263,0.278425443
cg02313836,0.106674531
cg02357404,0.444682346
cg02388882,0.982142254
cg02492818,-0.142184578
cg02561726,-0.331501044
cg02609848,0.535803375
cg02634272,-0.028844263
cg02657611,0.313160938
cg02737268,-0.250430119
cg02784694,-0.675229237
cg02884820,-0.111280248
cg02935272,-1.851444934
cg03020916,-0.144954919
cg03141090,-1.398462467
cg03213833,-0.336570975
cg03307911,-0.911241186
cg03352106,0.301243536
cg03361973,-1.522868517
cg03441945,1.699529148
cg03543893,-0.075295891
cg03655174,-0.621953114
cg03730703,1.279371201
cg03732020,-2.019414367
cg03753454,-1.008052852
cg03867465,0.480678639
cg03880841,1.594570555
cg03946955,-1.044407188
cg03979241,0.838391173
cg03991547,0.137069501
cg04016621,-0.023122061
cg04046945,0.629134227
cg04184716,0.567730367
cg04191989,-0.08202904
cg04246521,0.984260366
cg04258219,-0.398948784
cg04431946,-0.873094437
cg04474049,-0.773344444
cg04501188,5.091061927
cg04671541,-0.018987185
cg04702354,1.779485984
cg04721719,-0.258994847
cg04741211,0.49398341
cg04771206,0.508995972
cg04961189,0.228107784
cg04973802,9.29233e-4
cg05054910,-0.352141882
cg05169312,1.05859981
cg05198297,0.292913647
cg05304393,1.721512755
cg05308656,0.07480551
cg05321252,0.594097717
cg05340495,-1.046545689
cg05373339,0.540497479
cg05404233,1.897713298
cg05498905,-0.368823421
