CpGmarker,CoefficientTraining
cg00059225,0.0219600198215774
cg00085493,-0.100396107360814
cg00095976,0.00787241870373755
cg00609333,0.0228236425234992
cg01287592,-0.055414703325869
cg01704999,-0.0975745080508069
cg02209075,0.138200896364567
cg02310103,-0.084010735318325
cg02426178,-0.358361402171852
cg02821342,-0.130266736095702
cg02980055,-0.138765617117701
cg03020208,0.210385421509615
cg03466124,-0.0223110749063259
cg03473016,1.55410941538556e-4
cg03493146,-0.162408986167442
cg03555227,0.638584111630194
cg04221461,0.0345747469724994
cg04452203,-0.0269892788147598
cg04937184,-0.0542370756799339
cg04948475,-8.21517404235696e-4
cg05024939,0.148854762665292
cg05271255,-0.124920071766468
cg05923197,0.0392915422378125
cg05928290,0.15890250054524999
cg06048436,-0.154899945695993
cg06144905,0.315240900719098
cg06198384,0.00352539445180419
cg06416491,-0.192419064073917
cg06430061,-0.0172049451259837
cg06455149,0.0863760815791436
cg06712013,-0.0464243109118192
cg07066898,0.0658037300390308
cg07638500,-0.0256170993640263
cg07809484,0.06530806064307
cg08207604,-0.107192950357041
cg08448547,0.059128896795426
cg09367901,0.0414743805680343
cg09678615,-0.083869425305785
cg10308629,-0.0944785694370041
cg11071401,0.228790583514028
cg11084334,0.0273690546902018
cg11092416,-0.0863216553192824
cg11117945,-0.00583954223621747
cg11298786,-0.0983063996630606
cg11529819,-0.0869052743770051
cg11705975,0.183941529772108
cg11804928,-0.247571864007835
cg12483947,-0.00635405153153315
cg13462622,0.0397057772139935
cg13739066,0.0468998990074682
cg13783238,0.00355186429292266
cg13848598,0.0486308822210232
cg14676592,0.141165998896568
cg15774391,-0.141505175448992
cg16181396,0.0920047412020103
cg16243756,0.0721564297853146
cg16314254,0.124030390003067
cg16374999,0.0207905354158843
cg16514113,0.32300165313826
cg16618789,0.154987640158201
cg16703882,0.102039589821834
cg16852756,-0.0549764166647638
cg16867657,0.474126083881562
cg17882660,0.0432462083132505
cg18244483,0.218064139097335
cg18826352,0.0883036112312333
cg19203457,0.0933048751044402
cg19381811,-0.0756815161510257
cg19662687,-0.0313695332666802
cg20283670,-0.137206678979469
cg20397034,-0.676482622060927
cg20704560,-0.0345709513886038
cg20755989,0.191681375487627
cg20847090,0.00932698459791809
cg20897936,0.194982133085299
cg21515406,0.00622227034840401
cg21572722,0.648411886028284
cg22281505,-0.0433546497599536
cg23500537,0.0758495555480393
cg23586440,0.0091179718878375
cg23731991,-0.0711216038751353
cg24374161,-0.112505259750883
cg24441922,-0.154794501831873
cg24739596,0.00335237033882143
cg24881205,0.0446724105675185
cg24996883,-0.242318380763342
cg25062539,-0.348916980255924
cg25936902,-0.0483904421693394
cg26535072,-0.147218983805492
cg26650655,-0.0640927115531713
cg26718511,0.181471256274025
cg27061971,0.135431358884556
cg27396655,-0.330627792770495
cg27437510,0.112163243734567
