CpGmarker,CoefficientTraining
cg12146151,-1.928253615
cg16127845,-26.44519004
cg17133388,-17.35150683
cg13997435,-0.952728052
cg12360736,-5.665579359
cg07300408,-2.098933878
cg11739626,-0.711082515
cg00828602,-0.037539486
cg21624359,-2.350933573
cg22639768,-2.387736635
cg11388238,-4.450427945
cg06958211,-0.325949657
cg19317715,-2.367900326
cg20291222,-3.580242216
cg03490200,-4.025350704
cg26353877,-0.034084122
cg22957381,-5.023456565
cg19742789,-10.06819692
cg02976574,-6.389592143
cg16356956,-0.328054241
cg26143719,-0.409009241
cg09990086,-5.404386078
cg16746631,-6.043520938
cg10245048,-0.026322755
cg00047050,-1.531197487
cg25623459,-2.437653594
cg25374854,-0.420404048
cg02589695,-7.17829796
cg19289461,-3.049933349
cg16816226,-1.474822051
cg22141781,-9.29266237
cg14884741,-2.161249156
cg00417297,-13.93341428
cg19932177,-2.736139338
cg11206634,-0.093851178
cg06807989,1.384799249
cg01446983,13.75473568
cg23006204,1.51960647
cg08519905,9.55708941
cg21685427,2.782033488
cg14414534,0.981996641
cg05868799,5.504308295
cg24798047,4.222646427
cg19850406,0.333351477
cg05592398,1.653213882
cg21604042,0.942332878
cg26428825,1.192423441
cg23878206,3.21290669
cg16077929,2.525704021
cg10676060,3.242097769
cg01594262,4.530933431
cg06094150,5.931285414
cg04794268,4.087032255
cg00307685,1.891781166
cg10942056,2.824331388
cg04087608,2.956111412
cg13678049,8.081540906
cg06736444,2.550177333
cg22627427,1.695109562
cg04237003,3.800923596
cg26391080,0.479245986
cg17964955,11.29034321
