CpGmarker,CoefficientTraining
cg00009871,-0.124656981
cg00035630,-0.006478271
cg00056066,0.859460073
cg00057476,0.372322642
cg00063979,-0.509028605
cg00073090,-0.189317014
cg00091483,0.765878707
cg00173659,-0.17820455
cg00192031,0.763946083
cg00239899,-0.223482954
cg00307685,0.223044907
cg00398130,0.20993209
cg00400547,0.985498912
cg00419702,-0.085355785
cg00466827,0.009702718
cg00469856,-0.079049692
cg00501482,-0.373772622
cg00521434,1.693619118
cg00595223,-0.004757362
cg00639010,-1.933017622
cg00674365,0.007646539
cg00675037,-0.180097612
cg00705661,-2.810021278
cg00721170,0.046120484
cg00766497,0.259314777
cg00896578,-0.006801355
cg01075918,-0.929415286
cg01093285,0.260152179
cg01118711,0.54626814
cg01152073,-3.372469407
cg01224366,0.083802782
cg01233392,0.914376222
cg01272599,0.485386007
cg01284448,-0.201723469
cg01285706,0.125494207
cg01340347,-0.052845969
cg01376763,0.224156657
cg01427957,-0.064000008
cg01471196,0.035002098
cg01508380,0.844332231
cg01509843,0.055210566
cg01516372,0.098277963
cg01542644,-5.156925426
cg01550716,0.253157333
cg01589860,-0.066155991
cg01597604,-0.004851522
cg01709677,0.583018753
cg01718116,0.080934135
cg01766908,-0.182345044
cg01825213,-0.173684267
cg01904393,4.003734275
cg01958723,-0.101009081
cg01960128,-0.089661259
cg02012338,-1.235381981
cg02020969,0.156395878
cg02057688,0.112750567
cg02069715,0.003619915
cg02248037,0.621273556
cg02292263,0.404404024
cg02313836,0.046325832
cg02357404,0.030147134
cg02388882,0.367154336
cg02399571,1.088793578
cg02461114,-0.166914893
cg02492818,-0.577721148
cg02561726,-0.266556531
cg02603128,-0.021415955
cg02609848,0.384122747
cg02634272,-0.053160075
cg02657611,0.832658185
cg02730055,-0.173012935
cg02737268,-0.835808199
cg02784694,-0.33523452
cg02884820,-0.013629871
cg02935272,0.002027866
cg03020916,-0.15466474
cg03079497,-0.169905041
cg03141090,-0.550592649
cg03213833,-0.072596187
cg03261929,0.038244654
cg03307911,-0.555539152
cg03352106,0.063323311
cg03361973,-0.123290597
cg03441945,0.172159136
cg03543893,-0.028899552
cg03577655,0.011522136
cg03655174,-0.036114384
cg03730703,0.879163023
cg03732020,-1.568683925
cg03749198,-0.091940778
cg03753454,-0.582252424
cg03836586,-0.008955516
cg03867465,0.024464921
cg03880841,1.938789455
cg03946955,-0.071854858
cg03979241,0.850622876
cg03991547,0.109461888
cg04011474,-0.127294534
cg04012797,-0.586530598
