CpGmarker,CoefficientTraining
cg08461397,1.276403427
cg03966449,1.1563648
cg00574958,1.151691209
cg03819713,0.969649992
cg17901584,0.893294701
cg06933816,0.875556092
cg21420474,0.693048549
cg25732961,0.671532423
cg15107724,0.651153978
cg05484949,0.571967643
cg08577384,0.492847386
cg12437873,0.474721601
cg20396385,0.465160273
cg02075454,0.460696491
cg02311374,0.446317325
cg06767142,0.431044474
cg11082362,0.430081591
cg20493718,0.422432264
cg00467244,0.406691966
cg03477609,0.37325549
cg24730871,0.36815653
cg04330884,0.352875143
cg13676763,0.344762403
cg10166888,0.343714023
cg01930746,0.341357952
cg23839792,0.329007027
cg02071579,0.319257066
cg06572420,0.306514702
cg24002003,0.305745486
cg15037541,0.294247588
cg27106643,0.291957334
cg22171829,0.288608488
cg05119988,0.27500887
cg00948664,0.274215863
cg22911054,0.268192024
cg14559212,0.261780092
cg22078869,0.24555662
cg22381454,0.244550636
cg04301102,0.241977313
cg25360929,0.241600137
cg14483667,0.22633958
cg15996284,0.224351665
cg22017213,0.212573362
cg02560388,0.199368519
cg16293484,0.197176859
cg23690804,0.191881502
cg26612409,0.191307951
cg13261536,0.190801214
cg22479710,0.178266039
cg21557875,0.174259456
cg05946118,0.17136109
cg04392284,0.167947163
cg03173502,0.166719066
cg03945948,0.162084528
cg17501210,0.161501951
cg12551567,0.160853518
cg09580592,0.16058409
cg04944536,0.159589245
cg05073386,0.158316357
cg14308466,0.157545797
cg15282973,0.156606624
cg19190217,0.156062601
cg14101959,0.152452962
cg23503796,0.151450525
cg26456554,0.150994543
cg16057915,0.14622028
cg08635685,0.144334802
cg26517679,0.142639689
cg07244319,0.141776054
cg15564619,0.140339423
cg12453504,0.139750094
cg02613418,0.137887519
cg05575921,0.137762407
cg24780865,0.135881942
cg01986630,0.135421127
cg26161057,0.134718535
cg01231543,0.134259886
cg14472025,0.133476389
cg17400113,0.133301562
cg23181900,0.133260575
cg22746421,0.133102032
cg08419567,0.131905494
cg06599908,0.131576189
cg19446790,0.129691023
cg14658867,0.127946576
cg16196274,0.126928662
cg12723292,0.124178766
cg23532300,0.12314992
cg09365533,0.122257575
cg08363339,0.121737901
cg05507490,0.121242869
cg14681207,0.120967059
cg14019695,0.120428151
cg08357827,0.118515378
cg22198179,0.114639904
cg09201499,0.113425382
cg08098256,0.112380405
cg11827998,0.112150236
cg01798157,0.110280324
cg06512974,0.110215678
cg21206949,0.108895564
cg11301492,0.108266278
cg06190547,0.106884067
cg00312919,0.103466761
cg18991165,0.102567957
cg02662003,0.101688313
cg00497554,0.10025261
cg19534769,0.099778792
cg17560073,0.099000651
cg10337956,0.096942127
cg24346905,0.095907047
cg09823288,0.094894648
cg01766908,0.094006136
cg22367886,0.093508456
cg24691069,0.093014249
cg00601042,0.092451936
cg14022022,0.090072848
cg26267310,0.089625784
cg18349022,0.08866696
cg20698421,0.088525574
cg15860235,0.088332338
cg24571086,0.087255154
cg19919989,0.086968558
cg03532709,0.086086045
cg21512502,0.083495247
cg01161877,0.083147488
cg22297934,0.083060925
cg19494960,0.081636932
cg17494781,0.081147064
cg22400166,0.080237608
cg02483735,0.0795297
cg05533953,0.079271409
cg04101015,0.079081468
cg15694422,0.079008264
cg12292213,0.078453336
cg17134770,0.078232411
cg13044675,0.078067292
cg05277165,0.077948709
cg07988171,0.077206299
cg21415450,0.077111297
cg24334029,0.076537085
cg14717946,0.074966804
cg13824500,0.07322075
cg05377587,0.071745059
cg01268763,0.071341495
cg22225207,0.071015556
cg23375948,0.070933114
cg01686522,0.069846903
cg10189095,0.069337034
cg27393730,0.068262301
cg24166457,0.06811682
cg13667389,0.067039421
cg13225750,0.066740004
cg00156551,0.065994544
cg10835423,0.06524065
cg17176676,0.064245823
cg16993582,0.06391208
cg21956337,0.063685935
cg05033333,0.063582154
cg18980263,0.063501731
cg05303899,0.063053773
cg25140531,0.06257174
cg17821473,0.062516028
cg26558591,0.061988873
cg20290983,0.061614608
cg00957698,0.05955517
cg04220922,0.059427756
cg12935818,0.059339995
cg02459042,0.059044335
cg11237934,0.05867793
cg09130190,0.057303751
cg13442495,0.057018075
cg12613775,0.056887245
cg15750986,0.055716664
cg20479774,0.055296728
cg17143376,0.055124543
cg09390241,0.055028198
cg11738976,0.055015983
cg25870420,0.054648398
cg17782954,0.053742203
cg19453488,0.05290273
