CpGmarker,CoefficientTraining
cg00108715,0.007
cg00222799,0.007
cg00574958,-0.02
cg01130991,0.01
cg01243823,-0.008
cg01368219,0.008
cg01455178,0.009
cg01526748,0.009
cg01597398,-0.006
cg01671681,-0.008
cg01751802,0.008
cg01798813,0.01
cg01881899,0.01
cg02286155,0.006
cg02571142,0.008
cg02711608,-0.008
cg02716826,-0.008
cg03078551,-0.01
cg03218374,0.009
cg03500056,0.006
cg03682690,0.01
cg03725309,-0.01
cg04011474,-0.008
cg04286697,0.007
cg04483863,0.009
cg04557677,-0.008
cg04816311,0.01
cg04927537,0.01
cg05119988,-0.009
cg06192883,0.008
cg06397161,0.01
cg06500161,0.02
cg06690548,-0.02
cg06876354,0.006
cg06946797,-0.009
cg07012687,0.008
cg07021906,0.008
cg07037944,-0.007
cg07094298,-0.01
cg07504977,0.01
cg07573872,-0.009
cg07730360,0.007
cg07814318,0.008
cg07955474,-0.008
cg07960624,-0.01
cg08548559,-0.008
cg08639339,0.007
cg08857797,0.008
cg09182678,-0.008
cg09349128,-0.007
cg09491962,-0.006
cg09607047,0.006
cg09664445,0.006
cg10092518,-0.009
cg10179300,0.01
cg10192877,0.005
cg10474597,0.01
cg10508317,-0.01
cg10717869,0.008
cg10919522,-0.008
cg11024682,0.01
cg11152384,-0.01
cg11202345,0.01
cg11261850,0.01
cg11673687,0.007
cg12001357,-0.008
cg12458003,0.007
cg12484113,0.006
cg12593793,-0.007
cg13028635,0.005
cg13123009,0.006
cg13134297,-0.009
cg13139542,0.008
cg13274938,0.006
cg13276570,0.01
cg13305415,0.01
cg13708645,0.007
cg14017402,0.008
cg14333542,0.007
cg14352682,0.006
cg14476101,-0.01
cg14509967,0.01
cg14780837,0.009
cg14870271,0.01
cg15880704,0.006
cg16611584,0.01
cg16739178,0.007
cg17058475,-0.01
cg17194270,0.009
cg17501210,-0.01
cg17641710,0.006
cg17738521,-0.01
cg17782974,0.01
cg17836612,0.009
cg17901584,-0.01
cg18091083,0.01
cg18098839,-0.01
cg18181703,-0.007
cg18772573,0.008
cg19017142,-0.01
cg19750657,0.01
cg20496314,0.009
cg20507228,0.009
cg21429551,-0.01
cg21670987,-0.01
cg21766592,-0.01
cg22012981,0.007
cg22650271,0.008
cg22713958,0.007
cg22875823,0.009
cg22950899,0.009
cg23172671,0.009
cg23813257,-0.006
cg23998749,0.007
cg24145109,0.01
cg24531955,-0.009
cg24678869,0.006
cg25178683,0.009
cg25217710,0.006
cg25392060,0.006
cg25649826,0.007
cg26191447,-0.01
cg26361535,0.01
cg26403843,0.01
cg26470501,-0.008
cg26651978,-0.007
cg26800893,-0.008
cg26894079,-0.009
cg26950531,-0.01
cg26955383,0.007
cg27115863,-0.01
cg27243685,0.01
cg27394566,0.009
cg27470213,-0.01
cg27637521,-0.01
intercept,0
