CpGmarker,CoefficientTraining
cg11823511,Age-hyper
cg12212311,Age-hyper
cg17760405,Age-hyper
cg17757602,Age-hyper
cg05937737,Age-hyper
cg01923218,Age-hyper
cg21264189,Age-hyper
cg09053680,Age-hyper
cg22802813,Age-hyper
cg21334513,Age-hyper
cg17034390,Age-hyper
cg07783282,Age-hyper
cg08445802,Age-hyper
cg02874376,Age-hyper
cg24708471,Age-hyper
cg25285090,Age-hyper
cg17265829,Age-hyper
cg27282900,Age-hyper
cg14192957,Age-hyper
cg03409187,Age-hyper
cg23189410,Age-hyper
cg17794299,Age-hyper
cg26267854,Age-hyper
cg11205072,Age-hyper
cg05372113,Age-hyper
cg17694795,Age-hyper
cg11149930,Age-hyper
cg18488157,Age-hyper
cg17078116,Age-hyper
cg00437985,Age-hyper
cg13954457,Age-hyper
cg05745631,Age-hyper
cg08701621,Age-hyper
cg06794543,Age-hyper
cg06607764,Age-hyper
cg19841369,Age-hyper
cg06454760,Age-hyper
cg15909981,Age-hyper
cg13201808,Age-hyper
cg08847173,Age-hyper
cg00370229,Age-hyper
cg04007726,Age-hyper
cg04118306,Age-hyper
cg21136104,Age-hyper
cg17812788,Age-hyper
cg18687675,Age-hyper
cg14627172,Age-hyper
cg14822490,Age-hyper
cg12188986,Age-hyper
cg05525743,Age-hyper
cg09907936,Age-hyper
cg07766263,Age-hyper
cg21730858,Age-hyper
cg12492087,Age-hyper
cg02895639,Age-hyper
cg26709285,Age-hyper
cg00689492,Age-hyper
cg15490715,Age-hyper
cg25537993,Age-hyper
cg04599403,Age-hyper
cg19761848,Age-hyper
cg22727783,Age-hyper
cg13879776,Age-hyper
cg19947104,Age-hyper
cg00303982,Age-hyper
cg04484550,Age-hyper
cg19971388,Age-hyper
cg11324957,Age-hyper
cg00298065,Age-hyper
cg04191427,Age-hyper
cg04958794,Age-hyper
cg04293085,Age-hyper
cg02049405,Age-hyper
cg17434309,Age-hyper
cg05068206,Age-hyper
cg26890189,Age-hyper
cg05206884,Age-hyper
cg14182974,Age-hyper
cg09660365,Age-hyper
cg03192598,Age-hyper
cg04017533,Age-hyper
cg25247859,Age-hyper
cg24368848,Age-hyper
cg06708634,Age-hyper
cg05080154,Age-hyper
cg12444411,Age-hyper
cg12353688,Age-hyper
cg12215340,Age-hyper
cg00465970,Age-hyper
cg21143896,Age-hyper
cg12046758,Age-hyper
cg09354556,Age-hyper
cg18430128,Age-hyper
cg08843809,Age-hyper
cg18146737,Age-hyper
cg09224821,Age-hyper
cg12250896,Age-hyper
cg14013195,Age-hyper
cg14600824,Age-hyper
cg25975712,Age-hyper
cg11962640,Age-hyper
cg12406391,Age-hyper
cg08390209,Age-hyper
cg18628732,Age-hyper
cg12017745,Age-hyper
cg12399536,Age-hyper
cg22499720,Age-hyper
cg27088072,Age-hyper
cg07105285,Age-hyper
cg19717586,Age-hyper
cg05962092,Age-hyper
cg13434842,Age-hyper
cg02578944,Age-hyper
cg08584759,Age-hyper
cg11052143,Age-hyper
cg22319311,Age-hyper
cg13405332,Age-hyper
cg04716021,Age-hyper
cg13687570,Age-hyper
cg26612727,Age-hyper
cg15691862,Age-hyper
cg26557693,Age-hyper
cg06654118,Age-hyper
cg13933080,Age-hyper
cg00032205,Age-hyper
cg22320365,Age-hyper
cg05803237,Age-hyper
cg15871441,Age-hyper
cg05212464,Age-hyper
cg13878010,Age-hyper
cg15842276,Age-hyper
cg01856529,Age-hyper
cg10018167,Age-hyper
cg01734112,Age-hyper
cg20090283,Age-hyper
cg18530645,Age-hyper
cg04863758,Age-hyper
cg10568066,Age-hyper
cg02473540,Age-hyper
cg00891541,Age-hyper
cg12978433,Age-hyper
cg14137625,Age-hyper
cg14759565,Age-hyper
cg04917181,Age-hyper
cg12633154,Age-hyper
cg15090727,Age-hyper
cg26477792,Age-hyper
cg11599981,Age-hyper
cg16339238,Age-hyper
cg27566403,Age-hyper
cg13389502,Age-hyper
cg02994956,Age-hyper
cg10687131,Age-hyper
cg08013557,Age-hyper
cg09809932,Age-hyper
cg00730887,Age-hyper
cg08244866,Age-hyper
cg10132208,Age-hyper
cg13850380,Age-hyper
cg20234976,Age-hyper
cg05716671,Age-hyper
cg23690893,Age-hyper
cg19804605,Age-hyper
cg27205904,Age-hyper
cg00099869,Age-hyper
cg23111655,Age-hyper
cg01514538,Age-hyper
cg17018096,Age-hyper
cg24931632,Age-hyper
cg18953784,Age-hyper
cg26379258,Age-hyper
cg13451127,Age-hyper
cg13333304,Age-hyper
cg13449778,Age-hyper
cg10978355,Age-hyper
cg12598635,Age-hyper
cg00445518,Age-hyper
cg20449685,Age-hyper
